Player ID,Name,Pos,Team,Cost,team_Oi,opponent_Di,xGI,projected_GI,team_Di,opponent_Oi,xGc,projected_Gc,projected_net_goals,opponents
449,B.Fernandes,MID,Manchester Utd,9.0,5.15,4.37,3.52,3.08,5.15,6.66,8.49,11.31,-8.23,"(H) Chelsea,(A) Brentford,(H) Sunderland,(A) Liverpool,(H) Brighton"
235,Palmer,MID,Chelsea,10.4,8.95,5.14,2.3,2.35,1.3,6.16,3.83,4.72,-2.37,"(A) Manchester Utd,(H) Brighton,(H) Liverpool,(A) Nott'ham Forest,(H) Sunderland"
249,João Pedro,FWD,Chelsea,7.7,8.95,5.14,2.09,2.14,1.3,6.16,3.83,4.72,-2.58,"(A) Manchester Utd,(H) Brighton,(H) Liverpool,(A) Nott'ham Forest,(H) Sunderland"
525,Wood,FWD,Nott'ham Forest,7.6,5.15,4.37,2.16,1.89,6.4,5.64,6.18,6.96,-5.07,"(A) Burnley,(H) Sunderland,(A) Newcastle Utd,(H) Chelsea,(A) Bournemouth"
381,M.Salah,MID,Liverpool,14.5,10.25,3.6,2.0,1.43,5.15,5.9,4.06,4.8,-3.37,"(H) Everton,(A) Crystal Palace,(A) Chelsea,(H) Manchester Utd,(A) Brentford"
568,Pedro Porro,DEF,Tottenham,5.6,6.4,6.16,1.11,1.37,1.3,2.82,5.81,3.28,-1.91,"(A) Brighton,(H) Wolves,(A) Leeds United,(H) Aston Villa,(A) Everton"
427,Reijnders,MID,Manchester City,5.7,6.4,4.88,1.16,1.14,5.15,4.62,6.85,6.32,-5.18,"(A) Arsenal,(H) Burnley,(A) Brentford,(H) Everton,(A) Aston Villa"
517,Anderson,MID,Nott'ham Forest,5.5,5.15,4.37,1.1,0.97,6.4,5.64,8.58,9.68,-8.71,"(A) Burnley,(H) Sunderland,(A) Newcastle Utd,(H) Chelsea,(A) Bournemouth"
373,Virgil,DEF,Liverpool,6.1,10.25,3.6,0.34,0.25,5.15,5.9,4.06,4.8,-4.55,"(H) Everton,(A) Crystal Palace,(A) Chelsea,(H) Manchester Utd,(A) Brentford"
508,N.Williams,DEF,Nott'ham Forest,5.0,5.15,4.37,0.22,0.19,6.4,5.64,8.58,9.68,-9.49,"(A) Burnley,(H) Sunderland,(A) Newcastle Utd,(H) Chelsea,(A) Bournemouth"
476,Burn,DEF,Newcastle Utd,5.0,2.55,4.63,0.18,0.17,3.85,4.88,2.61,2.55,-2.38,"(A) Bournemouth,(H) Arsenal,(H) Nott'ham Forest,(A) Brighton,(H) Fulham"
191,Estève,DEF,Burnley,4.0,5.15,6.67,0.07,0.11,7.7,3.08,11.33,6.98,-6.87,"(H) Nott'ham Forest,(A) Manchester City,(A) Aston Villa,(H) Leeds United,(A) Wolves"
252,Marc Guiu,FWD,Chelsea,4.4,8.95,5.14,0.07,0.09,1.3,6.16,1.65,2.03,-1.94,"(A) Manchester Utd,(H) Brighton,(H) Liverpool,(A) Nott'ham Forest,(H) Sunderland"
220,Sánchez,GK,Chelsea,5.0,8.95,5.14,0.0,0.0,1.3,6.16,4.8,5.92,-5.92,"(A) Manchester Utd,(H) Brighton,(H) Liverpool,(A) Nott'ham Forest,(H) Sunderland"
470,Dúbravka,GK,Burnley,4.0,5.15,6.67,0.0,0.0,7.7,3.08,11.46,7.06,-7.06,"(H) Nott'ham Forest,(A) Manchester City,(A) Aston Villa,(H) Leeds United,(A) Wolves"
