Player ID,Name,Pos,Team,Cost,Total Points,Bonus,Points/$,Games,Goals,Assists,xG,xA,xGI,gc,xGc,clean_sheets,def_con,Saves,h_Games,h_Goals,h_Assists,h_xG,h_xA,h_xGI,h_Gc,h_xGc,a_Games,a_Goals,a_Assists,a_xG,a_xA,a_xGI,a_Gc,a_xGc
430,Haaland,FWD,Manchester City,14.9,25,3,1.68,5,2,2,3.29,0.4,3.69,6,5.95,0,7,0,0,2,1,1.53,0.02,1.55,1,1.58,3,1,2,1.76,0.38,2.14,5,4.37
449,B.Fernandes,MID,Manchester Utd,9.8,42,8,4.29,5,1,5,1.15,2.31,3.46,5,4.14,2,34,0,3,3,1,0.72,1.32,2.04,2,2.88,2,0,2,0.43,0.99,1.42,3,1.26
237,Enzo,MID,Chelsea,6.9,25,3,3.62,5,2,1,1.91,0.86,2.77,5,5.93,1,29,0,1,2,1,0.33,0.12,0.45,2,2.48,3,1,0,1.58,0.74,2.32,3,3.45
21,Rice,MID,Arsenal,7.5,15,0,2.0,5,0,0,0.33,1.62,1.95,3,1.75,4,52,0,0,3,0,0.21,0.78,0.99,3,1.26,2,0,0,0.12,0.84,0.96,0,0.49
485,Gordon,MID,Newcastle Utd,7.2,12,0,1.67,4,1,0,0.83,0.97,1.8,8,4.97,1,9,0,0,2,0,0.6,0.82,1.42,4,2.43,2,1,0,0.23,0.15,0.38,4,2.54
72,Senesi,DEF,Bournemouth,4.8,22,0,4.58,5,0,1,0.62,0.96,1.58,6,5.05,1,59,0,1,3,0,0.56,0.92,1.48,5,2.62,2,0,0,0.06,0.04,0.1,1,2.43
249,João Pedro,FWD,Chelsea,7.6,39,8,5.13,5,3,4,1.36,0.14,1.5,2,4.07,2,17,0,1,2,2,0.65,0.13,0.78,0,1.9,3,1,3,0.71,0.01,0.72,2,2.17
660,Stach,MID,Leeds United,4.8,12,2,2.5,3,0,1,0.14,0.75,0.89,6,3.44,0,34,0,0,1,0,0.0,0.07,0.07,3,1.67,2,0,1,0.14,0.68,0.82,3,1.77
317,Andersen,DEF,Fulham,4.6,13,1,2.83,5,0,1,0.53,0.17,0.7,8,9.08,0,39,0,1,3,0,0.09,0.07,0.16,4,5.86,2,0,0,0.44,0.1,0.54,4,3.22
291,Tarkowski,DEF,Everton,5.8,20,0,3.45,5,0,0,0.43,0.23,0.66,4,6.81,1,48,0,0,2,0,0.0,0.02,0.02,2,1.96,3,0,0,0.43,0.21,0.64,2,4.85
5,Gabriel,DEF,Arsenal,7.1,29,2,4.08,5,0,0,0.3,0.13,0.43,3,1.75,4,39,0,0,3,0,0.14,0.07,0.21,3,1.26,2,0,0,0.16,0.06,0.22,0,0.49
683,Alderete,DEF,Sunderland,4.1,10,0,2.44,5,0,0,0.22,0.12,0.34,10,6.48,1,37,0,0,2,0,0.07,0.01,0.08,1,0.67,3,0,0,0.15,0.11,0.26,9,5.81
470,Dúbravka,GK,Burnley,4.0,15,2,3.75,5,0,0,0.0,0.0,0.0,10,10.27,0,0,28,0,3,0,0.0,0.0,0.0,6,5.62,2,0,0,0.0,0.0,0.0,4,4.65
736,Donnarumma,GK,Manchester City,5.6,16,2,2.86,5,0,0,0.0,0.0,0.0,6,6.3,1,0,15,0,2,0,0.0,0.0,0.0,1,1.77,3,0,0,0.0,0.0,0.0,5,4.53
252,Marc Guiu,FWD,Chelsea,4.2,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0
