Player ID,Name,Pos,Team,Cost,team_Oi,opponent_Di,xGI,projected_GI,team_Di,opponent_Oi,xGc,projected_Gc,projected_net_goals,opponents
517,Anderson,MID,Nott'ham Forest,5.5,12.5,5.0,3.35,3.36,4.15,3.33,7.5,4.99,-1.63,"(A) Crystal Palace,(H) West Ham,(A) Arsenal,(A) Burnley,(H) Sunderland"
568,Pedro Porro,DEF,Tottenham,5.5,12.5,9.99,1.4,2.79,0.0,5.83,4.7,5.48,-2.69,"(A) Manchester City,(H) Bournemouth,(A) West Ham,(A) Brighton,(H) Wolves"
449,B.Fernandes,MID,Manchester Utd,9.0,0.0,5.83,2.25,2.61,4.15,4.99,6.55,6.54,-3.93,"(A) Fulham,(H) Burnley,(A) Manchester City,(H) Chelsea,(A) Brentford"
249,João Pedro,FWD,Chelsea,7.5,0.0,7.49,1.5,2.25,0.0,2.49,3.0,1.5,0.75,"(A) West Ham,(H) Fulham,(A) Brentford,(A) Manchester Utd,(H) Brighton"
235,Palmer,MID,Chelsea,10.5,0.0,7.49,1.0,1.51,0.0,2.49,3.3,1.65,-0.14,"(A) West Ham,(H) Fulham,(A) Brentford,(A) Manchester Utd,(H) Brighton"
427,Reijnders,MID,Manchester City,5.5,16.65,4.16,1.7,1.41,0.0,4.16,2.8,2.32,-0.91,"(H) Tottenham,(A) Brighton,(H) Manchester Utd,(A) Arsenal,(H) Burnley"
381,M.Salah,MID,Liverpool,14.5,16.65,3.33,1.85,1.23,8.35,0.83,8.5,1.41,-0.18,"(A) Newcastle Utd,(H) Arsenal,(A) Burnley,(H) Everton,(A) Crystal Palace"
373,Virgil,DEF,Liverpool,6.0,16.65,3.33,0.95,0.64,8.35,0.83,8.5,1.41,-0.77,"(A) Newcastle Utd,(H) Arsenal,(A) Burnley,(H) Everton,(A) Crystal Palace"
64,Watkins,FWD,Aston Villa,9.0,0.0,4.16,0.65,0.54,0.0,4.16,7.15,5.96,-5.42,"(A) Brentford,(H) Crystal Palace,(A) Everton,(A) Sunderland,(H) Fulham"
508,N.Williams,DEF,Nott'ham Forest,5.0,12.5,5.0,0.45,0.44,4.15,3.33,7.5,4.99,-4.55,"(A) Crystal Palace,(H) West Ham,(A) Arsenal,(A) Burnley,(H) Sunderland"
145,De Cuyper,DEF,Brighton,4.5,4.15,4.16,0.45,0.37,4.15,7.5,3.8,5.7,-5.33,"(A) Everton,(H) Manchester City,(A) Bournemouth,(H) Tottenham,(A) Chelsea"
191,Estève,DEF,Burnley,4.0,0.0,3.33,0.25,0.16,12.5,11.66,11.6,27.06,-26.9,"(H) Sunderland,(A) Manchester Utd,(H) Liverpool,(H) Nott'ham Forest,(A) Manchester City"
220,Sánchez,GK,Chelsea,5.0,0.0,7.49,0.0,0.0,0.0,2.49,3.3,1.65,-1.65,"(A) West Ham,(H) Fulham,(A) Brentford,(A) Manchester Utd,(H) Brighton"
470,Dúbravka,GK,Burnley,4.0,0.0,3.33,0.0,0.0,12.5,11.66,11.6,27.06,-27.06,"(H) Sunderland,(A) Manchester Utd,(H) Liverpool,(H) Nott'ham Forest,(A) Manchester City"
252,Marc Guiu,FWD,Sunderland,4.5,12.5,5.83,,,0.0,3.33,,,,"(A) Burnley,(H) Brentford,(A) Crystal Palace,(H) Aston Villa,(A) Nott'ham Forest"
