Player ID,Name,Pos,Team,Cost,opponent,team_Oi,opponent_Di,xGI,projected GI,team_Di,opponent_Oi,xGc,projected Gc,projected net goals
249,João Pedro,FWD,Chelsea,7.5,West Ham,0.0,2.5,0.3,0.75,0.0,0.0,0.6,0.0,0.75
235,Palmer,MID,Chelsea,10.5,West Ham,0.0,2.5,0.2,0.5,0.0,0.0,0.66,0.0,0.5
449,B.Fernandes,MID,Manchester Utd,9.0,Fulham,0.0,0.83,0.45,0.37,0.83,0.83,1.31,1.09,-0.72
64,Watkins,FWD,Aston Villa,9.0,Brentford,0.0,2.5,0.13,0.32,0.0,0.83,1.43,1.19,-0.87
145,De Cuyper,DEF,Brighton,4.5,Everton,0.83,0.83,0.09,0.07,0.83,0.0,0.76,0.0,0.07
220,Sánchez,GK,Chelsea,5.0,West Ham,0.0,2.5,0.0,0.0,0.0,0.0,0.66,0.0,0.0
470,Dúbravka,GK,Burnley,4.0,Sunderland,0.0,0.0,0.0,0.0,2.5,2.5,2.32,5.8,-5.8
373,Virgil,DEF,Liverpool,6.0,Newcastle Utd,3.33,0.0,0.19,0.0,1.67,0.0,1.7,0.0,0.0
568,Pedro Porro,DEF,Tottenham,5.5,Manchester City,2.5,0.0,0.28,0.0,0.0,3.33,0.94,3.13,-3.13
517,Anderson,MID,Nott'ham Forest,5.5,Crystal Palace,2.5,0.0,0.67,0.0,0.83,0.0,1.5,0.0,0.0
381,M.Salah,MID,Liverpool,14.5,Newcastle Utd,3.33,0.0,0.37,0.0,1.67,0.0,1.7,0.0,0.0
427,Reijnders,MID,Manchester City,5.5,Tottenham,3.33,0.0,0.34,0.0,0.0,2.5,0.56,1.4,-1.4
508,N.Williams,DEF,Nott'ham Forest,5.0,Crystal Palace,2.5,0.0,0.09,0.0,0.83,0.0,1.5,0.0,0.0
191,Estève,DEF,Burnley,4.0,Sunderland,0.0,0.0,0.05,0.0,2.5,2.5,2.32,5.8,-5.8
252,Marc Guiu,FWD,Sunderland,4.5,Burnley,2.5,2.5,,,0.0,0.0,,,
