Player ID,Name,Pos,Team,Cost,team_Oi,opponent_Di,xGI,projected_GI,team_Di,opponent_Oi,xGc,projected_Gc,projected_net_goals,opponents
430,Haaland,FWD,Manchester City,14.0,16.65,4.16,9.95,8.27,0.0,4.16,1.75,1.46,6.81,"(H) Tottenham,(A) Brighton,(H) Manchester Utd,(A) Arsenal,(H) Burnley"
597,Richarlison,FWD,Tottenham,6.5,12.5,9.99,3.95,7.9,0.0,5.83,4.45,5.19,2.71,"(A) Manchester City,(H) Bournemouth,(A) West Ham,(A) Brighton,(H) Wolves"
365,Nmecha,FWD,Leeds United,5.0,4.15,7.49,4.3,6.43,0.0,3.33,1.4,0.93,5.5,"(A) Arsenal,(H) Newcastle Utd,(A) Fulham,(A) Wolves,(H) Bournemouth"
582,Kudus,MID,Tottenham,6.5,12.5,9.99,3.2,6.39,0.0,5.83,4.7,5.48,0.91,"(A) Manchester City,(H) Bournemouth,(A) West Ham,(A) Brighton,(H) Wolves"
575,Van de Ven,DEF,Tottenham,4.5,12.5,9.99,3.0,6.0,0.0,5.83,4.7,5.48,0.52,"(A) Manchester City,(H) Bournemouth,(A) West Ham,(A) Brighton,(H) Wolves"
580,Johnson,MID,Tottenham,7.0,12.5,9.99,2.8,5.58,0.0,5.83,4.7,5.48,0.1,"(A) Manchester City,(H) Bournemouth,(A) West Ham,(A) Brighton,(H) Wolves"
238,Estêvão,MID,Chelsea,6.5,0.0,7.49,3.55,5.33,0.0,2.49,0.35,0.18,5.15,"(A) West Ham,(H) Fulham,(A) Brentford,(A) Manchester Utd,(H) Brighton"
486,Elanga,MID,Newcastle Utd,7.0,0.0,8.33,3.15,5.25,0.0,6.66,0.85,1.13,4.12,"(H) Liverpool,(A) Leeds United,(H) Wolves,(A) Bournemouth,(H) Arsenal"
485,Gordon,MID,Newcastle Utd,7.5,0.0,8.33,2.9,4.83,0.0,6.66,1.0,1.34,3.49,"(H) Liverpool,(A) Leeds United,(H) Wolves,(A) Bournemouth,(H) Arsenal"
525,Wood,FWD,Nott'ham Forest,7.5,12.5,5.0,4.8,4.8,4.15,3.33,7.5,4.99,-0.19,"(A) Crystal Palace,(H) West Ham,(A) Arsenal,(A) Burnley,(H) Sunderland"
487,Barnes,MID,Newcastle Utd,6.5,0.0,8.33,2.8,4.66,0.0,6.66,1.0,1.34,3.32,"(H) Liverpool,(A) Leeds United,(H) Wolves,(A) Bournemouth,(H) Arsenal"
660,Stach,MID,Leeds United,5.0,4.15,7.49,2.8,4.18,0.0,3.33,2.75,1.84,2.34,"(A) Arsenal,(H) Newcastle Utd,(A) Fulham,(A) Wolves,(H) Bournemouth"
164,O'Riley,MID,Brighton,5.5,4.15,4.16,4.65,3.87,4.15,7.5,2.6,3.9,-0.03,"(A) Everton,(H) Manchester City,(A) Bournemouth,(H) Tottenham,(A) Chelsea"
82,Semenyo,MID,Bournemouth,7.0,8.35,4.16,4.65,3.87,16.65,4.16,11.05,9.18,-5.31,"(H) Wolves,(A) Tottenham,(H) Brighton,(H) Newcastle Utd,(A) Leeds United"
661,Ekitiké,FWD,Liverpool,8.5,16.65,3.33,5.8,3.86,8.35,0.83,7.45,1.24,2.62,"(A) Newcastle Utd,(H) Arsenal,(A) Burnley,(H) Everton,(A) Crystal Palace"
517,Anderson,MID,Nott'ham Forest,5.5,12.5,5.0,3.35,3.36,4.15,3.33,7.5,4.99,-1.63,"(A) Crystal Palace,(H) West Ham,(A) Arsenal,(A) Burnley,(H) Sunderland"
515,Gibbs-White,MID,Nott'ham Forest,7.5,12.5,5.0,3.3,3.3,4.15,3.33,7.5,4.99,-1.69,"(A) Crystal Palace,(H) West Ham,(A) Arsenal,(A) Burnley,(H) Sunderland"
236,Neto,MID,Chelsea,7.0,0.0,7.49,1.95,2.92,0.0,2.49,3.3,1.65,1.27,"(A) West Ham,(H) Fulham,(A) Brentford,(A) Manchester Utd,(H) Brighton"
568,Pedro Porro,DEF,Tottenham,5.5,12.5,9.99,1.4,2.79,0.0,5.83,4.7,5.48,-2.69,"(A) Manchester City,(H) Bournemouth,(A) West Ham,(A) Brighton,(H) Wolves"
119,Mbeumo,MID,Manchester Utd,8.0,0.0,5.83,2.35,2.73,4.15,4.99,6.55,6.54,-3.81,"(A) Fulham,(H) Burnley,(A) Manchester City,(H) Chelsea,(A) Brentford"
200,Anthony,MID,Burnley,5.5,0.0,3.33,4.0,2.66,12.5,11.66,11.6,27.06,-24.4,"(H) Sunderland,(A) Manchester Utd,(H) Liverpool,(H) Nott'ham Forest,(A) Manchester City"
449,B.Fernandes,MID,Manchester Utd,9.0,0.0,5.83,2.25,2.61,4.15,4.99,6.55,6.54,-3.93,"(A) Fulham,(H) Burnley,(A) Manchester City,(H) Chelsea,(A) Brentford"
450,Cunha,MID,Manchester Utd,8.0,0.0,5.83,2.25,2.61,4.15,4.99,6.55,6.54,-3.93,"(A) Fulham,(H) Burnley,(A) Manchester City,(H) Chelsea,(A) Brentford"
573,Spence,DEF,Tottenham,4.5,12.5,9.99,1.25,2.49,0.0,5.83,4.7,5.48,-2.99,"(A) Manchester City,(H) Bournemouth,(A) West Ham,(A) Brighton,(H) Wolves"
410,Lewis,DEF,Manchester City,5.0,16.65,4.16,2.95,2.46,0.0,4.16,1.75,1.46,1.0,"(H) Tottenham,(A) Brighton,(H) Manchester Utd,(A) Arsenal,(H) Burnley"
362,Piroe,FWD,Leeds United,5.5,4.15,7.49,1.6,2.41,0.0,3.33,1.4,0.93,1.48,"(A) Arsenal,(H) Newcastle Utd,(A) Fulham,(A) Wolves,(H) Bournemouth"
246,Andrey Santos,MID,Chelsea,4.5,0.0,7.49,1.55,2.34,0.0,2.49,0.25,0.12,2.22,"(A) West Ham,(H) Fulham,(A) Brentford,(A) Manchester Utd,(H) Brighton"
347,Gudmundsson,DEF,Leeds United,4.0,4.15,7.49,1.55,2.32,0.0,3.33,2.75,1.84,0.48,"(A) Arsenal,(H) Newcastle Utd,(A) Fulham,(A) Wolves,(H) Bournemouth"
7,Calafiori,DEF,Arsenal,5.5,4.15,2.5,4.6,2.3,0.0,9.99,4.35,8.69,-6.39,"(H) Leeds United,(A) Liverpool,(H) Nott'ham Forest,(H) Manchester City,(A) Newcastle Utd"
249,João Pedro,FWD,Chelsea,7.5,0.0,7.49,1.5,2.25,0.0,2.49,3.0,1.5,0.75,"(A) West Ham,(H) Fulham,(A) Brentford,(A) Manchester Utd,(H) Brighton"
593,P.M.Sarr,MID,Tottenham,5.0,12.5,9.99,1.1,2.19,0.0,5.83,4.7,5.48,-3.29,"(A) Manchester City,(H) Bournemouth,(A) West Ham,(A) Brighton,(H) Wolves"
384,Gakpo,MID,Liverpool,7.5,16.65,3.33,3.2,2.13,8.35,0.83,8.5,1.41,0.72,"(A) Newcastle Utd,(H) Arsenal,(A) Burnley,(H) Everton,(A) Crystal Palace"
242,Dewsbury-Hall,MID,Everton,5.0,0.0,8.33,1.2,2.0,4.15,4.16,10.35,8.61,-6.61,"(H) Brighton,(A) Wolves,(H) Aston Villa,(A) Liverpool,(H) West Ham"
416,Bernardo,MID,Manchester City,6.5,16.65,4.16,2.2,1.84,0.0,4.16,1.75,1.46,0.38,"(H) Tottenham,(A) Brighton,(H) Manchester Utd,(A) Arsenal,(H) Burnley"
291,Tarkowski,DEF,Everton,5.5,0.0,8.33,1.05,1.74,4.15,4.16,10.35,8.61,-6.87,"(H) Brighton,(A) Wolves,(H) Aston Villa,(A) Liverpool,(H) West Ham"
654,Strand Larsen,FWD,Wolves,6.5,0.0,4.16,1.95,1.62,16.65,5.0,11.4,11.4,-9.78,"(A) Bournemouth,(H) Everton,(A) Newcastle Utd,(H) Leeds United,(A) Tottenham"
86,Brooks,MID,Bournemouth,5.0,8.35,4.16,1.9,1.59,16.65,4.16,9.5,7.91,-6.32,"(H) Wolves,(A) Tottenham,(H) Brighton,(H) Newcastle Utd,(A) Leeds United"
84,Tavernier,MID,Bournemouth,5.5,8.35,4.16,1.9,1.59,16.65,4.16,11.05,9.18,-7.59,"(H) Wolves,(A) Tottenham,(H) Brighton,(H) Newcastle Utd,(A) Leeds United"
455,Mount,MID,Manchester Utd,6.0,0.0,5.83,1.35,1.58,4.15,4.99,5.5,5.48,-3.9,"(A) Fulham,(H) Burnley,(A) Manchester City,(H) Chelsea,(A) Brentford"
436,De Ligt,DEF,Manchester Utd,5.0,0.0,5.83,1.35,1.58,4.15,4.99,6.55,6.54,-4.96,"(A) Fulham,(H) Burnley,(A) Manchester City,(H) Chelsea,(A) Brentford"
350,Aaronson,MID,Leeds United,5.5,4.15,7.49,1.05,1.57,0.0,3.33,2.35,1.56,0.01,"(A) Arsenal,(H) Newcastle Utd,(A) Fulham,(A) Wolves,(H) Bournemouth"
224,Cucurella,DEF,Chelsea,6.0,0.0,7.49,1.05,1.55,0.0,2.49,3.3,1.65,-0.1,"(A) West Ham,(H) Fulham,(A) Brentford,(A) Manchester Utd,(H) Brighton"
136,Thiago,FWD,Brentford,6.0,4.15,1.66,4.6,1.52,12.5,3.33,9.3,6.19,-4.67,"(H) Aston Villa,(A) Sunderland,(H) Chelsea,(A) Fulham,(H) Manchester Utd"
235,Palmer,MID,Chelsea,10.5,0.0,7.49,1.0,1.51,0.0,2.49,3.3,1.65,-0.14,"(A) West Ham,(H) Fulham,(A) Brentford,(A) Manchester Utd,(H) Brighton"
491,Tonali,MID,Newcastle Utd,5.5,0.0,8.33,0.9,1.5,0.0,6.66,1.0,1.34,0.16,"(H) Liverpool,(A) Leeds United,(H) Wolves,(A) Bournemouth,(H) Arsenal"
293,O'Brien,DEF,Everton,5.0,0.0,8.33,0.9,1.5,4.15,4.16,10.35,8.61,-7.11,"(H) Brighton,(A) Wolves,(H) Aston Villa,(A) Liverpool,(H) West Ham"
302,Gana,MID,Everton,5.5,0.0,8.33,0.9,1.5,4.15,4.16,10.35,8.61,-7.11,"(H) Brighton,(A) Wolves,(H) Aston Villa,(A) Liverpool,(H) West Ham"
225,James,DEF,Chelsea,5.5,0.0,7.49,0.95,1.44,0.0,2.49,3.05,1.53,-0.09,"(A) West Ham,(H) Fulham,(A) Brentford,(A) Manchester Utd,(H) Brighton"
283,Mateta,FWD,Crystal Palace,7.5,0.0,5.0,1.45,1.44,0.0,8.33,8.0,13.33,-11.89,"(H) Nott'ham Forest,(A) Aston Villa,(H) Sunderland,(A) West Ham,(H) Liverpool"
353,James,MID,Leeds United,5.5,4.15,7.49,0.95,1.42,0.0,3.33,1.4,0.93,0.49,"(A) Arsenal,(H) Newcastle Utd,(A) Fulham,(A) Wolves,(H) Bournemouth"
427,Reijnders,MID,Manchester City,5.5,16.65,4.16,1.7,1.41,0.0,4.16,2.8,2.32,-0.91,"(H) Tottenham,(A) Brighton,(H) Manchester Utd,(A) Arsenal,(H) Burnley"
544,Diarra,MID,Sunderland,5.5,12.5,5.83,1.2,1.4,0.0,3.33,2.8,1.86,-0.46,"(A) Burnley,(H) Brentford,(A) Crystal Palace,(H) Aston Villa,(A) Nott'ham Forest"
382,Wirtz,MID,Liverpool,8.5,16.65,3.33,2.1,1.4,8.35,0.83,8.5,1.41,-0.01,"(A) Newcastle Utd,(H) Arsenal,(A) Burnley,(H) Everton,(A) Crystal Palace"
516,Hudson-Odoi,MID,Nott'ham Forest,6.0,12.5,5.0,1.3,1.3,4.15,3.33,7.5,4.99,-3.69,"(A) Crystal Palace,(H) West Ham,(A) Arsenal,(A) Burnley,(H) Sunderland"
586,Bergvall,MID,Tottenham,5.5,12.5,9.99,0.65,1.29,0.0,5.83,4.7,5.48,-4.19,"(A) Manchester City,(H) Bournemouth,(A) West Ham,(A) Brighton,(H) Wolves"
162,Gruda,MID,Brighton,5.5,4.15,4.16,1.55,1.29,4.15,7.5,1.2,1.8,-0.51,"(A) Everton,(H) Manchester City,(A) Bournemouth,(H) Tottenham,(A) Chelsea"
381,M.Salah,MID,Liverpool,14.5,16.65,3.33,1.85,1.23,8.35,0.83,8.5,1.41,-0.18,"(A) Newcastle Utd,(H) Arsenal,(A) Burnley,(H) Everton,(A) Crystal Palace"
97,Evanilson,FWD,Bournemouth,7.0,8.35,4.16,1.45,1.21,16.65,4.16,11.05,9.18,-7.97,"(H) Wolves,(A) Tottenham,(H) Brighton,(H) Newcastle Utd,(A) Leeds United"
266,Eze,MID,Crystal Palace,7.5,0.0,5.0,1.2,1.2,0.0,8.33,6.1,10.16,-8.96,"(H) Nott'ham Forest,(A) Aston Villa,(H) Sunderland,(A) West Ham,(H) Liverpool"
351,Gnonto,MID,Leeds United,5.5,4.15,7.49,0.75,1.12,0.0,3.33,0.4,0.27,0.85,"(A) Arsenal,(H) Newcastle Utd,(A) Fulham,(A) Wolves,(H) Bournemouth"
531,Ballard,DEF,Sunderland,4.5,12.5,5.83,0.95,1.12,0.0,3.33,2.8,1.86,-0.74,"(A) Burnley,(H) Brentford,(A) Crystal Palace,(H) Aston Villa,(A) Nott'ham Forest"
343,Struijk,DEF,Leeds United,4.5,4.15,7.49,0.7,1.06,0.0,3.33,2.75,1.84,-0.78,"(A) Arsenal,(H) Newcastle Utd,(A) Fulham,(A) Wolves,(H) Bournemouth"
239,Gittens,MID,Chelsea,6.5,0.0,7.49,0.7,1.06,0.0,2.49,2.95,1.47,-0.41,"(A) West Ham,(H) Fulham,(A) Brentford,(A) Manchester Utd,(H) Brighton"
335,King,MID,Fulham,4.5,4.15,3.33,1.55,1.04,4.15,1.66,5.35,1.78,-0.74,"(H) Manchester Utd,(A) Chelsea,(H) Leeds United,(H) Brentford,(A) Aston Villa"
681,Šeško,FWD,Manchester Utd,7.5,0.0,5.83,0.85,1.0,4.15,4.99,1.05,1.04,-0.04,"(A) Fulham,(H) Burnley,(A) Manchester City,(H) Chelsea,(A) Brentford"
324,Iwobi,MID,Fulham,6.5,4.15,3.33,1.45,0.96,4.15,1.66,5.25,1.74,-0.78,"(H) Manchester Utd,(A) Chelsea,(H) Leeds United,(H) Brentford,(A) Aston Villa"
337,Raúl,FWD,Fulham,6.5,4.15,3.33,1.45,0.96,4.15,1.66,5.25,1.74,-0.78,"(H) Manchester Utd,(A) Chelsea,(H) Leeds United,(H) Brentford,(A) Aston Villa"
17,Ødegaard,MID,Arsenal,8.0,4.15,2.5,1.9,0.95,0.0,9.99,7.6,15.18,-14.23,"(H) Leeds United,(A) Liverpool,(H) Nott'ham Forest,(H) Manchester City,(A) Newcastle Utd"
543,Adingra,MID,Sunderland,5.5,12.5,5.83,0.8,0.93,0.0,3.33,1.65,1.09,-0.16,"(A) Burnley,(H) Brentford,(A) Crystal Palace,(H) Aston Villa,(A) Nott'ham Forest"
205,Cullen,MID,Burnley,5.0,0.0,3.33,1.4,0.93,12.5,11.66,11.6,27.06,-26.13,"(H) Sunderland,(A) Manchester Utd,(H) Liverpool,(H) Nott'ham Forest,(A) Manchester City"
358,Tanaka,MID,Leeds United,5.0,4.15,7.49,0.6,0.9,0.0,3.33,2.75,1.84,-0.94,"(A) Arsenal,(H) Newcastle Utd,(A) Fulham,(A) Wolves,(H) Bournemouth"
226,Chalobah,DEF,Chelsea,5.0,0.0,7.49,0.6,0.9,0.0,2.49,3.3,1.65,-0.75,"(A) West Ham,(H) Fulham,(A) Brentford,(A) Manchester Utd,(H) Brighton"
