Player ID,Name,Pos,Team,Cost,opponent,team_Oi,opponent_Di,xGI,projected GI,team_Di,opponent_Oi,xGc,projected Gc,projected net goals
525,Wood,FWD,Nott'ham Forest,7.6,West Ham,1.54,3.08,0.625,1.92,0.77,0.38,1.3,0.49,1.43
430,Haaland,FWD,Manchester City,14.1,Brighton,1.54,1.15,1.38,1.59,0.77,0.38,0.73,0.28,1.31
515,Gibbs-White,MID,Nott'ham Forest,7.5,West Ham,1.54,3.08,0.435,1.34,0.77,0.38,1.3,0.49,0.85
517,Anderson,MID,Nott'ham Forest,5.5,West Ham,1.54,3.08,0.35,1.08,0.77,0.38,1.3,0.49,0.59
666,Gyökeres,FWD,Arsenal,9.0,Liverpool,2.31,1.54,0.685,1.05,0.0,2.69,0.435,1.17,-0.12
485,Gordon,MID,Newcastle Utd,7.5,Leeds United,0.77,1.92,0.54,1.04,1.15,0.38,0.135,0.05,0.99
7,Calafiori,DEF,Arsenal,5.6,Liverpool,2.31,1.54,0.66,1.02,0.0,2.69,0.52,1.4,-0.38
516,Hudson-Odoi,MID,Nott'ham Forest,6.0,West Ham,1.54,3.08,0.295,0.91,0.77,0.38,1.3,0.49,0.42
487,Barnes,MID,Newcastle Utd,6.5,Leeds United,0.77,1.92,0.46,0.88,1.15,0.38,0.265,0.1,0.78
597,Richarlison,FWD,Tottenham,6.6,Bournemouth,1.92,1.54,0.5,0.77,0.0,1.15,1.13,1.3,-0.53
580,Johnson,MID,Tottenham,7.0,Bournemouth,1.92,1.54,0.495,0.76,0.0,1.15,1.155,1.33,-0.57
449,B.Fernandes,MID,Manchester Utd,9.0,Burnley,0.38,1.15,0.655,0.75,0.77,0.77,1.535,1.18,-0.43
299,Ndiaye,MID,Everton,6.5,Wolves,0.77,1.92,0.375,0.72,0.38,0.0,1.775,0.0,0.72
669,Ndoye,MID,Nott'ham Forest,6.0,West Ham,1.54,3.08,0.23,0.71,0.77,0.38,1.3,0.49,0.22
419,Grealish,MID,Everton,6.5,Wolves,0.77,1.92,0.365,0.7,0.38,0.0,1.785,0.0,0.7
486,Elanga,MID,Newcastle Utd,7.0,Leeds United,0.77,1.92,0.345,0.66,1.15,0.38,0.435,0.17,0.49
8,J.Timber,DEF,Arsenal,5.5,Liverpool,2.31,1.54,0.43,0.66,0.0,2.69,0.415,1.12,-0.46
178,Welbeck,FWD,Brighton,6.4,Manchester City,0.38,0.77,0.83,0.64,1.15,1.54,0.92,1.42,-0.78
238,Estêvão,MID,Chelsea,6.5,Fulham,1.92,0.77,0.805,0.62,0.38,0.77,0.2,0.15,0.47
693,Hutchinson,MID,Nott'ham Forest,5.5,West Ham,1.54,3.08,0.2,0.62,0.77,0.38,0.0,0.0,0.62
83,O.Dango,MID,Brentford,6.0,Sunderland,0.77,0.77,0.79,0.61,1.15,1.15,1.1,1.26,-0.65
200,Anthony,MID,Burnley,5.5,Manchester Utd,0.77,0.77,0.795,0.61,1.15,0.38,1.545,0.59,0.02
582,Kudus,MID,Tottenham,6.6,Bournemouth,1.92,1.54,0.365,0.56,0.0,1.15,1.245,1.43,-0.87
164,O'Riley,MID,Brighton,5.5,Manchester City,0.38,0.77,0.69,0.53,1.15,1.54,1.06,1.63,-1.1
21,Rice,MID,Arsenal,6.5,Liverpool,2.31,1.54,0.34,0.52,0.0,2.69,0.605,1.63,-1.11
450,Cunha,MID,Manchester Utd,8.0,Burnley,0.38,1.15,0.43,0.49,0.77,0.77,1.535,1.18,-0.69
365,Nmecha,FWD,Leeds United,5.0,Newcastle Utd,0.38,1.15,0.43,0.49,1.92,0.77,0.655,0.5,-0.01
300,McNeil,MID,Everton,5.9,Wolves,0.77,1.92,0.24,0.46,0.38,0.0,0.95,0.0,0.46
575,Van de Ven,DEF,Tottenham,4.5,Bournemouth,1.92,1.54,0.3,0.46,0.0,1.15,1.245,1.43,-0.97
119,Mbeumo,MID,Manchester Utd,8.0,Burnley,0.38,1.15,0.39,0.45,0.77,0.77,1.535,1.18,-0.73
413,Marmoush,MID,Manchester City,8.4,Brighton,1.54,1.15,0.39,0.45,0.77,0.38,0.415,0.16,0.29
237,Enzo,MID,Chelsea,6.5,Fulham,1.92,0.77,0.575,0.44,0.38,0.77,0.67,0.52,-0.08
136,Thiago,FWD,Brentford,6.0,Sunderland,0.77,0.77,0.575,0.44,1.15,1.15,1.525,1.75,-1.31
410,Lewis,DEF,Manchester City,5.0,Brighton,1.54,1.15,0.345,0.4,0.77,0.38,0.73,0.28,0.12
242,Dewsbury-Hall,MID,Everton,5.0,Wolves,0.77,1.92,0.205,0.39,0.38,0.0,2.25,0.0,0.39
568,Pedro Porro,DEF,Tottenham,5.5,Bournemouth,1.92,1.54,0.245,0.38,0.0,1.15,1.245,1.43,-1.05
266,Eze,MID,Arsenal,7.5,Liverpool,2.31,1.54,0.24,0.37,0.0,2.69,1.22,3.28,-2.91
17,Ødegaard,MID,Arsenal,8.0,Liverpool,2.31,1.54,0.24,0.37,0.0,2.69,0.845,2.27,-1.9
236,Neto,MID,Chelsea,7.0,Fulham,1.92,0.77,0.47,0.36,0.38,0.77,0.695,0.54,-0.18
660,Stach,MID,Leeds United,5.0,Newcastle Utd,0.38,1.15,0.315,0.36,1.92,0.77,1.715,1.32,-0.96
310,Barry,FWD,Everton,6.0,Wolves,0.77,1.92,0.18,0.35,0.38,0.0,0.84,0.0,0.35
249,João Pedro,FWD,Chelsea,7.5,Fulham,1.92,0.77,0.41,0.32,0.38,0.77,0.665,0.51,-0.19
417,Cherki,MID,Manchester City,6.5,Brighton,1.54,1.15,0.265,0.3,0.77,0.38,0.415,0.16,0.14
405,Aké,DEF,Manchester City,5.5,Brighton,1.54,1.15,0.26,0.3,0.77,0.38,1.03,0.39,-0.09
16,Saka,MID,Arsenal,10.0,Liverpool,2.31,1.54,0.19,0.29,0.0,2.69,0.845,2.27,-1.98
160,Minteh,MID,Brighton,6.0,Manchester City,0.38,0.77,0.37,0.28,1.15,1.54,1.06,1.63,-1.35
506,Murillo,DEF,Nott'ham Forest,5.5,West Ham,1.54,3.08,0.09,0.28,0.77,0.38,1.3,0.49,-0.21
488,Bruno G.,MID,Newcastle Utd,6.5,Leeds United,0.77,1.92,0.145,0.28,1.15,0.38,0.45,0.17,0.11
491,Tonali,MID,Newcastle Utd,5.5,Leeds United,0.77,1.92,0.14,0.27,1.15,0.38,0.265,0.1,0.17
416,Bernardo,MID,Manchester City,6.5,Brighton,1.54,1.15,0.23,0.26,0.77,0.38,0.42,0.16,0.1
455,Mount,MID,Manchester Utd,6.0,Burnley,0.38,1.15,0.23,0.26,0.77,0.77,1.08,0.83,-0.57
427,Reijnders,MID,Manchester City,5.7,Brighton,1.54,1.15,0.21,0.24,0.77,0.38,0.835,0.32,-0.08
414,Foden,MID,Manchester City,8.0,Brighton,1.54,1.15,0.2,0.23,0.77,0.38,0.36,0.14,0.09
121,Damsgaard,MID,Brentford,5.9,Sunderland,0.77,0.77,0.3,0.23,1.15,1.15,1.19,1.37,-1.14
561,Mayenda,FWD,Sunderland,5.5,Brentford,1.15,1.15,0.195,0.22,0.77,0.77,0.335,0.26,-0.04
477,Livramento,DEF,Newcastle Utd,5.0,Leeds United,0.77,1.92,0.115,0.22,1.15,0.38,0.45,0.17,0.05
205,Cullen,MID,Burnley,5.0,Manchester Utd,0.77,0.77,0.275,0.21,1.15,0.38,1.545,0.59,-0.38
531,Ballard,DEF,Sunderland,4.6,Brentford,1.15,1.15,0.18,0.21,0.77,0.77,0.28,0.22,-0.01
573,Spence,DEF,Tottenham,4.5,Bournemouth,1.92,1.54,0.135,0.21,0.0,1.15,1.245,1.43,-1.22
593,P.M.Sarr,MID,Tottenham,5.0,Bournemouth,1.92,1.54,0.13,0.2,0.0,1.15,1.245,1.43,-1.23
311,Beto,FWD,Everton,5.5,Wolves,0.77,1.92,0.105,0.2,0.38,0.0,1.51,0.0,0.2
588,Odobert,MID,Tottenham,5.4,Bournemouth,1.92,1.54,0.13,0.2,0.0,1.15,0.09,0.1,0.1
224,Cucurella,DEF,Chelsea,6.1,Fulham,1.92,0.77,0.265,0.2,0.38,0.77,0.475,0.37,-0.17
291,Tarkowski,DEF,Everton,5.5,Wolves,0.77,1.92,0.105,0.2,0.38,0.0,2.25,0.0,0.2
293,O'Brien,DEF,Everton,5.0,Wolves,0.77,1.92,0.095,0.18,0.38,0.0,2.25,0.0,0.18
302,Gana,MID,Everton,5.5,Wolves,0.77,1.92,0.095,0.18,0.38,0.0,2.25,0.0,0.18
362,Piroe,FWD,Leeds United,5.5,Newcastle Utd,0.38,1.15,0.16,0.18,1.92,0.77,1.065,0.82,-0.64
347,Gudmundsson,DEF,Leeds United,4.0,Newcastle Utd,0.38,1.15,0.155,0.18,1.92,0.77,1.715,1.32,-1.14
226,Chalobah,DEF,Chelsea,5.0,Fulham,1.92,0.77,0.22,0.17,0.38,0.77,0.475,0.37,-0.2
614,Ward-Prowse,MID,West Ham,5.9,Nott'ham Forest,0.38,0.77,0.22,0.17,3.08,1.54,1.67,2.57,-2.4
508,N.Williams,DEF,Nott'ham Forest,5.0,West Ham,1.54,3.08,0.055,0.17,0.77,0.38,1.3,0.49,-0.32
500,Osula,FWD,Newcastle Utd,5.5,Leeds United,0.77,1.92,0.09,0.17,1.15,0.38,0.185,0.07,0.1
418,Doku,MID,Manchester City,6.5,Brighton,1.54,1.15,0.135,0.16,0.77,0.38,0.42,0.16,0.0
544,Diarra,MID,Sunderland,5.5,Brentford,1.15,1.15,0.14,0.16,0.77,0.77,0.45,0.35,-0.19
436,De Ligt,DEF,Manchester Utd,5.0,Burnley,0.38,1.15,0.14,0.16,0.77,0.77,1.535,1.18,-1.02
424,Bobb,MID,Manchester City,5.5,Brighton,1.54,1.15,0.14,0.16,0.77,0.38,0.655,0.25,-0.09
235,Palmer,MID,Chelsea,10.5,Fulham,1.92,0.77,0.2,0.15,0.38,0.77,0.66,0.51,-0.36
353,James,MID,Leeds United,5.5,Newcastle Utd,0.38,1.15,0.13,0.15,1.92,0.77,1.145,0.88,-0.73
20,Trossard,MID,Arsenal,7.0,Liverpool,2.31,1.54,0.1,0.15,0.0,2.69,0.0,0.0,0.15
624,Bowen,FWD,West Ham,7.9,Nott'ham Forest,0.38,0.77,0.2,0.15,3.08,1.54,1.71,2.63,-2.48
50,Buendía,MID,Aston Villa,5.4,Crystal Palace,0.0,0.38,0.4,0.15,0.38,0.38,0.28,0.11,0.04
325,Smith Rowe,MID,Fulham,5.9,Chelsea,0.77,0.38,0.405,0.15,0.77,1.92,0.255,0.49,-0.34
700,Dowman,MID,Arsenal,4.5,Liverpool,2.31,1.54,0.1,0.15,0.0,2.69,0.0,0.0,0.15
596,Solanke,FWD,Tottenham,7.4,Bournemouth,1.92,1.54,0.1,0.15,0.0,1.15,0.11,0.13,0.02
543,Adingra,MID,Sunderland,5.5,Brentford,1.15,1.15,0.125,0.14,0.77,0.77,0.335,0.26,-0.12
350,Aaronson,MID,Leeds United,5.5,Newcastle Utd,0.38,1.15,0.125,0.14,1.92,0.77,0.67,0.52,-0.38
343,Struijk,DEF,Leeds United,4.5,Newcastle Utd,0.38,1.15,0.12,0.14,1.92,0.77,1.715,1.32,-1.18
553,Talbi,MID,Sunderland,5.0,Brentford,1.15,1.15,0.125,0.14,0.77,0.77,0.435,0.33,-0.19
586,Bergvall,MID,Tottenham,5.5,Bournemouth,1.92,1.54,0.09,0.14,0.0,1.15,0.47,0.54,-0.4
162,Gruda,MID,Brighton,5.5,Manchester City,0.38,0.77,0.185,0.14,1.15,1.54,0.315,0.49,-0.35
303,Garner,MID,Everton,5.0,Wolves,0.77,1.92,0.075,0.14,0.38,0.0,2.25,0.0,0.14
452,Amad,MID,Manchester Utd,6.5,Burnley,0.38,1.15,0.115,0.13,0.77,0.77,0.585,0.45,-0.32
157,Mitoma,MID,Brighton,6.5,Manchester City,0.38,0.77,0.175,0.13,1.15,1.54,1.06,1.63,-1.5
478,Trippier,DEF,Newcastle Utd,5.0,Leeds United,0.77,1.92,0.07,0.13,1.15,0.38,0.265,0.1,0.03
241,Caicedo,MID,Chelsea,5.5,Fulham,1.92,0.77,0.17,0.13,0.38,0.77,0.695,0.54,-0.41
683,Alderete,DEF,Sunderland,4.0,Brentford,1.15,1.15,0.1,0.12,0.77,0.77,0.615,0.47,-0.35
317,Andersen,DEF,Fulham,4.5,Chelsea,0.77,0.38,0.325,0.12,0.77,1.92,1.555,2.99,-2.87
444,Yoro,DEF,Manchester Utd,4.5,Burnley,0.38,1.15,0.1,0.12,0.77,0.77,1.52,1.17,-1.05
681,Šeško,FWD,Manchester Utd,7.5,Burnley,0.38,1.15,0.105,0.12,0.77,0.77,0.535,0.41,-0.29
324,Iwobi,MID,Fulham,6.5,Chelsea,0.77,0.38,0.305,0.12,0.77,1.92,1.34,2.57,-2.45
246,Andrey Santos,MID,Chelsea,4.5,Fulham,1.92,0.77,0.16,0.12,0.38,0.77,0.3,0.23,-0.11
225,James,DEF,Chelsea,5.5,Fulham,1.92,0.77,0.16,0.12,0.38,0.77,0.525,0.4,-0.28
64,Watkins,FWD,Aston Villa,9.0,Crystal Palace,0.0,0.38,0.29,0.11,0.38,0.38,1.32,0.5,-0.39
673,J.Palhinha,MID,Tottenham,5.5,Bournemouth,1.92,1.54,0.07,0.11,0.0,1.15,0.775,0.89,-0.78
267,Sarr,MID,Crystal Palace,6.5,Aston Villa,0.38,0.38,0.3,0.11,0.38,0.0,1.265,0.0,0.11
526,Igor Jesus,FWD,Nott'ham Forest,5.9,West Ham,1.54,3.08,0.035,0.11,0.77,0.38,0.0,0.0,0.11
166,Ayari,MID,Brighton,5.0,Manchester City,0.38,0.77,0.145,0.11,1.15,1.54,0.98,1.51,-1.4
217,Foster,FWD,Burnley,5.0,Manchester Utd,0.77,0.77,0.135,0.1,1.15,0.38,1.375,0.52,-0.42
440,Dalot,DEF,Manchester Utd,4.5,Burnley,0.38,1.15,0.085,0.1,0.77,0.77,0.945,0.73,-0.63
654,Strand Larsen,FWD,Wolves,6.5,Everton,0.0,0.38,0.25,0.1,1.92,0.77,1.705,1.31,-1.21
338,Muniz,FWD,Fulham,5.5,Chelsea,0.77,0.38,0.26,0.1,0.77,1.92,0.975,1.87,-1.77
668,Xhaka,MID,Sunderland,5.0,Brentford,1.15,1.15,0.075,0.09,0.77,0.77,0.78,0.6,-0.51
532,Hume,DEF,Sunderland,4.5,Brentford,1.15,1.15,0.075,0.09,0.77,0.77,0.78,0.6,-0.51
426,McAtee,MID,Nott'ham Forest,5.5,West Ham,1.54,3.08,0.03,0.09,0.77,0.38,0.0,0.0,0.09
335,King,MID,Fulham,4.5,Chelsea,0.77,0.38,0.245,0.09,0.77,1.92,1.295,2.49,-2.4
476,Burn,DEF,Newcastle Utd,5.0,Leeds United,0.77,1.92,0.045,0.09,1.15,0.38,0.45,0.17,-0.08
625,Füllkrug,FWD,West Ham,5.9,Nott'ham Forest,0.38,0.77,0.12,0.09,3.08,1.54,1.15,1.77,-1.68
209,Laurent,MID,Burnley,5.0,Manchester Utd,0.77,0.77,0.12,0.09,1.15,0.38,0.785,0.3,-0.21
603,Diouf,DEF,West Ham,4.5,Nott'ham Forest,0.38,0.77,0.12,0.09,3.08,1.54,1.71,2.63,-2.54
612,L.Paquetá,MID,West Ham,5.9,Nott'ham Forest,0.38,0.77,0.12,0.09,3.08,1.54,1.71,2.63,-2.54
283,Mateta,FWD,Crystal Palace,7.5,Aston Villa,0.38,0.38,0.225,0.09,0.38,0.0,1.13,0.0,0.09
332,Lukić,MID,Fulham,5.0,Chelsea,0.77,0.38,0.225,0.09,0.77,1.92,1.555,2.99,-2.9
351,Gnonto,MID,Leeds United,5.5,Newcastle Utd,0.38,1.15,0.075,0.09,1.92,0.77,1.045,0.8,-0.71
421,Rodrigo,MID,Manchester City,6.4,Brighton,1.54,1.15,0.07,0.08,0.77,0.38,0.36,0.14,-0.06
507,Aina,DEF,Nott'ham Forest,5.0,West Ham,1.54,3.08,0.025,0.08,0.77,0.38,1.3,0.49,-0.41
591,Gray,MID,Tottenham,5.0,Bournemouth,1.92,1.54,0.05,0.08,0.0,1.15,0.89,1.02,-0.94
