team,team_Oi,team_Di,opponents_Oi,opponents_Di,expected_gf,expected_ga,opponents
Liverpool,8.36,3.86,5.56,4.8,8.05,4.22,"Bournemouth(H), Newcastle Utd(A), Arsenal(H), Burnley(A), Everton(H)"
Arsenal,6.73,3.32,5.89,5.51,7.37,3.92,"Manchester Utd(A), Leeds United(H), Liverpool(A), Nott'ham Forest(H), Manchester City(H)"
Manchester City,6.79,4.3,5.5,5.12,7.06,4.73,"Wolves(A), Tottenham(H), Brighton(A), Manchester Utd(H), Arsenal(A)"
Chelsea,6.19,4.45,5.44,5.66,6.98,4.82,"Crystal Palace(H), West Ham(A), Fulham(H), Brentford(A), Manchester Utd(A)"
Tottenham,6.19,6.31,5.82,5.6,6.96,7.34,"Burnley(H), Manchester City(A), Bournemouth(H), West Ham(A), Brighton(A)"
Newcastle Utd,6.45,4.83,5.9,5.09,6.74,5.49,"Aston Villa(A), Liverpool(H), Leeds United(A), Wolves(H), Bournemouth(A)"
Brentford,6.21,5.32,4.87,5.26,6.61,5.28,"Nott'ham Forest(A), Aston Villa(H), Sunderland(A), Chelsea(H), Fulham(A)"
Bournemouth,5.46,4.26,6.63,5.9,6.18,5.8,"Liverpool(A), Wolves(H), Tottenham(A), Brighton(H), Newcastle Utd(H)"
Aston Villa,5.53,5.31,5.44,5.54,6.11,5.72,"Newcastle Utd(H), Brentford(A), Crystal Palace(H), Everton(A), Sunderland(A)"
Nott'ham Forest,5.89,4.89,4.78,4.93,5.78,4.61,"Brentford(H), Crystal Palace(A), West Ham(H), Arsenal(A), Burnley(A)"
Brighton,6.35,5.66,5.33,4.54,5.64,5.93,"Fulham(H), Everton(A), Manchester City(H), Bournemouth(A), Tottenham(H)"
Fulham,5.25,5.37,5.32,5.4,5.62,5.67,"Brighton(A), Manchester Utd(H), Chelsea(A), Leeds United(H), Brentford(H)"
Crystal Palace,5.13,5.05,5.62,5.45,5.47,5.68,"Chelsea(A), Nott'ham Forest(H), Aston Villa(A), Sunderland(H), West Ham(A)"
Wolves,5.25,6.64,5.16,4.84,5.03,6.95,"Manchester City(H), Bournemouth(A), Everton(H), Newcastle Utd(A), Leeds United(H)"
West Ham,4.46,6.14,5.17,5.12,4.56,6.39,"Sunderland(A), Chelsea(H), Nott'ham Forest(A), Tottenham(H), Crystal Palace(H)"
Everton,3.94,4.3,5.9,5.62,4.55,5.07,"Leeds United(A), Brighton(H), Wolves(A), Aston Villa(H), Liverpool(A)"
Leeds United,4.53,7.69,5.14,4.94,4.47,8.06,"Everton(H), Arsenal(A), Newcastle Utd(H), Fulham(A), Wolves(A)"
Manchester Utd,4.3,5.29,5.99,4.97,4.28,6.34,"Arsenal(H), Fulham(A), Burnley(H), Manchester City(A), Chelsea(H)"
Sunderland,3.82,6.71,4.46,5.56,4.24,5.91,"West Ham(H), Burnley(A), Brentford(H), Crystal Palace(A), Aston Villa(H)"
Burnley,3.24,6.28,6.15,6.13,3.96,7.73,"Tottenham(A), Sunderland(H), Manchester Utd(A), Liverpool(H), Nott'ham Forest(H)"
