Player ID,Name,Pos,Team,Cost,opponent,team_Oi,opponent_Di,xGI,projected GI,team_Di,opponent_Oi,xGc,projected Gc,projected net goals
283,Mateta,FWD,Crystal Palace,7.7,Brentford,1.11,0.97,1.26,1.22,1.11,1.25,1.268,1.58,-0.36
16,Saka,MID,Arsenal,10.0,Burnley,0.97,1.39,0.588,0.82,0.28,1.11,0.376,0.42,0.4
136,Thiago,FWD,Brentford,6.2,Crystal Palace,1.25,1.11,0.6900000000000001,0.77,0.97,1.11,1.286,1.43,-0.66
449,B.Fernandes,MID,Manchester Utd,8.9,Nott'ham Forest,1.53,1.25,0.612,0.76,0.97,0.14,1.322,0.19,0.57
714,Woltemade,FWD,Newcastle Utd,7.5,West Ham,0.83,1.25,0.592,0.74,0.69,0.42,0.944,0.4,0.34
488,Bruno G.,MID,Newcastle Utd,6.5,West Ham,0.83,1.25,0.4725,0.59,0.69,0.42,1.1925,0.5,0.09
430,Haaland,FWD,Manchester City,14.7,Bournemouth,1.25,0.83,0.696,0.58,0.42,1.39,0.726,1.01,-0.43
350,Aaronson,MID,Leeds United,5.4,Brighton,1.11,1.25,0.434,0.54,1.11,1.39,0.772,1.07,-0.53
20,Trossard,MID,Arsenal,6.9,Burnley,0.97,1.39,0.386,0.54,0.28,1.11,0.54,0.6,-0.06
21,Rice,MID,Arsenal,6.6,Burnley,0.97,1.39,0.378,0.53,0.28,1.11,0.5519999999999999,0.61,-0.08
237,Enzo,MID,Chelsea,6.7,Tottenham,1.11,0.83,0.62,0.51,1.11,1.25,1.845,2.31,-1.8
119,Mbeumo,MID,Manchester Utd,8.2,Nott'ham Forest,1.53,1.25,0.396,0.5,0.97,0.14,1.288,0.18,0.32
698,Okafor,MID,Leeds United,5.5,Brighton,1.11,1.25,0.38,0.48,1.11,1.39,0.6325,0.88,-0.4
666,Gyökeres,FWD,Arsenal,9.0,Burnley,0.97,1.39,0.33599999999999997,0.47,0.28,1.11,0.58,0.64,-0.17
709,Krejčí,DEF,Wolves,4.5,Fulham,0.69,1.39,0.33199999999999996,0.46,1.39,0.83,0.916,0.76,-0.3
83,O.Dango,MID,Brentford,6.0,Crystal Palace,1.25,1.11,0.404,0.45,0.97,1.11,0.646,0.72,-0.27
332,Lukić,MID,Fulham,5.0,Wolves,0.83,1.39,0.3225,0.45,1.39,0.69,0.835,0.58,-0.13
691,Calvert-Lewin,FWD,Leeds United,5.5,Brighton,1.11,1.25,0.362,0.45,1.11,1.39,0.782,1.09,-0.64
160,Minteh,MID,Brighton,6.0,Leeds United,1.39,1.11,0.404,0.45,1.25,1.11,1.238,1.37,-0.92
54,McGinn,MID,Aston Villa,5.4,Liverpool,1.25,1.39,0.318,0.44,0.56,0.97,0.654,0.63,-0.19
266,Eze,MID,Arsenal,7.6,Burnley,0.97,1.39,0.312,0.43,0.28,1.11,0.434,0.48,-0.05
452,Amad,MID,Manchester Utd,6.3,Nott'ham Forest,1.53,1.25,0.3425,0.43,0.97,0.14,0.665,0.09,0.34
560,Isidor,FWD,Sunderland,5.6,Everton,0.83,1.25,0.34199999999999997,0.43,0.56,0.56,0.916,0.51,-0.08
636,S.Bueno,DEF,Wolves,4.4,Fulham,0.69,1.39,0.3,0.42,1.39,0.83,1.025,0.85,-0.43
648,Munetsi,MID,Wolves,5.4,Fulham,0.69,1.39,0.296,0.41,1.39,0.83,0.76,0.63,-0.22
727,Chukwueze,MID,Fulham,5.4,Wolves,0.83,1.39,0.285,0.4,1.39,0.69,0.335,0.23,0.17
178,Welbeck,FWD,Brighton,6.4,Leeds United,1.39,1.11,0.352,0.39,1.25,1.11,0.744,0.83,-0.44
654,Strand Larsen,FWD,Wolves,6.4,Fulham,0.69,1.39,0.27599999999999997,0.38,1.39,0.83,0.78,0.65,-0.27
384,Gakpo,MID,Liverpool,7.6,Aston Villa,0.97,0.56,0.6719999999999999,0.38,1.39,1.25,1.244,1.56,-1.18
120,Schade,MID,Brentford,7.0,Crystal Palace,1.25,1.11,0.33999999999999997,0.38,0.97,1.11,1.204,1.34,-0.96
489,J.Murphy,MID,Newcastle Utd,6.1,West Ham,0.83,1.25,0.298,0.37,0.69,0.42,0.736,0.31,0.06
681,Šeško,FWD,Manchester Utd,7.3,Nott'ham Forest,1.53,1.25,0.292,0.36,0.97,0.14,1.0699999999999998,0.15,0.21
267,Sarr,MID,Crystal Palace,6.5,Brentford,1.11,0.97,0.375,0.36,1.11,1.25,1.475,1.84,-1.48
597,Richarlison,FWD,Tottenham,6.6,Chelsea,1.25,1.11,0.322,0.36,0.83,1.11,0.6759999999999999,0.75,-0.39
663,J.Arias,MID,Wolves,5.2,Fulham,0.69,1.39,0.25,0.35,1.39,0.83,0.732,0.61,-0.26
273,Wharton,MID,Crystal Palace,5.0,Brentford,1.11,0.97,0.362,0.35,1.11,1.25,1.338,1.67,-1.32
37,Digne,DEF,Aston Villa,4.5,Liverpool,1.25,1.39,0.242,0.34,0.56,0.97,0.648,0.63,-0.29
450,Cunha,MID,Manchester Utd,7.9,Nott'ham Forest,1.53,1.25,0.262,0.33,0.97,0.14,1.242,0.17,0.16
299,Ndiaye,MID,Everton,6.5,Sunderland,0.56,0.56,0.592,0.33,1.25,0.83,1.386,1.15,-0.82
8,J.Timber,DEF,Arsenal,6.0,Burnley,0.97,1.39,0.23399999999999999,0.33,0.28,1.11,0.532,0.59,-0.26
260,Guéhi,DEF,Crystal Palace,4.9,Brentford,1.11,0.97,0.32999999999999996,0.32,1.11,1.25,1.588,1.98,-1.66
329,Wilson,MID,Fulham,5.3,Wolves,0.83,1.39,0.23,0.32,1.39,0.69,0.8525,0.59,-0.27
17,Ødegaard,MID,Arsenal,7.9,Burnley,0.97,1.39,0.23,0.32,0.28,1.11,0.21,0.23,0.09
