Player ID,Name,Pos,Team,Cost,Total Points,Bonus,Points/$,Games,Goals,Assists,xG,xA,xGI,gc,xGc,clean_sheets,def_con,Saves,h_Games,h_Goals,h_Assists,h_xG,h_xA,h_xGI,h_Gc,h_xGc,a_Games,a_Goals,a_Assists,a_xG,a_xA,a_xGI,a_Gc,a_xGc
430,Haaland,FWD,Manchester City,14.8,193,35,13.04,27,22,7,20.66,1.86,22.52,24,28.72,10,80,0,14,13,3,10.55,1.02,11.57,9,12.9,13,9,4,10.11,0.84,10.95,15,15.82
136,Thiago,FWD,Brentford,7.1,135,18,19.01,27,17,1,15.06,1.55,16.61,35,36.14,6,137,0,14,9,1,8.43,1.17,9.6,14,17.76,13,8,0,6.63,0.38,7.01,21,18.38
237,Enzo,MID,Chelsea,6.8,120,14,17.65,26,8,3,9.87,5.16,15.03,28,32.13,8,181,0,14,4,2,4.63,3.13,7.76,16,18.59,12,4,1,5.24,2.03,7.27,12,13.54
449,B.Fernandes,MID,Manchester Utd,9.9,145,25,14.65,24,6,12,8.19,6.75,14.94,33,28.58,4,212,0,11,4,4,4.3,3.29,7.59,14,10.46,13,2,8,3.89,3.46,7.35,19,18.12
283,Mateta,FWD,Crystal Palace,7.5,84,9,11.2,23,8,0,11.88,1.26,13.14,23,26.67,8,110,0,12,6,0,8.02,0.59,8.61,13,14.29,11,2,0,3.86,0.67,4.53,10,12.38
16,Saka,MID,Arsenal,9.8,119,13,12.14,24,5,8,6.71,5.36,12.07,15,11.44,8,145,0,11,3,4,2.97,2.65,5.62,6,4.13,13,2,4,3.74,2.71,6.45,9,7.31
249,João Pedro,FWD,Chelsea,7.7,139,25,18.05,27,11,8,10.0,1.71,11.71,20,26.8,10,112,0,14,7,2,6.02,0.62,6.64,8,12.49,13,4,6,3.98,1.09,5.07,12,14.31
119,Mbeumo,MID,Manchester Utd,8.6,115,15,13.37,22,9,3,7.54,3.94,11.48,29,25.64,5,100,0,11,5,1,3.87,2.23,6.1,13,9.57,11,4,2,3.67,1.71,5.38,16,16.07
661,Ekitiké,FWD,Liverpool,8.9,106,19,11.91,24,10,2,9.33,1.88,11.21,20,23.4,7,73,0,13,6,2,6.12,1.44,7.56,9,11.67,11,4,0,3.21,0.44,3.65,11,11.73
82,Semenyo,MID,Manchester City,8.0,157,17,19.62,26,13,6,8.72,2.27,10.99,44,37.65,7,193,0,13,7,4,4.32,1.28,5.6,10,10.01,13,6,2,4.4,0.99,5.39,34,27.64
64,Watkins,FWD,Aston Villa,8.6,97,11,11.28,26,8,2,9.72,1.0,10.72,24,31.23,8,69,0,13,2,1,4.0,0.46,4.46,9,13.51,13,6,1,5.72,0.54,6.26,15,17.72
337,Raúl,FWD,Fulham,6.1,94,7,15.41,26,8,5,9.59,0.81,10.4,24,27.7,7,105,0,13,3,4,4.1,0.58,4.68,11,13.4,13,5,1,5.49,0.23,5.72,13,14.3
691,Calvert-Lewin,FWD,Leeds United,5.8,104,16,17.93,24,10,2,9.41,0.96,10.36,26,21.77,4,60,0,12,5,0,5.56,0.64,6.19,13,10.51,12,5,2,3.85,0.32,4.17,13,11.26
120,Schade,MID,Brentford,6.9,87,5,12.61,24,6,4,8.57,1.77,10.34,22,25.65,7,146,0,12,6,2,5.5,1.19,6.69,9,13.59,12,0,2,3.07,0.58,3.65,13,12.06
381,M.Salah,MID,Liverpool,14.0,85,5,6.07,19,4,6,6.18,3.98,10.16,27,23.71,6,67,0,10,2,3,2.75,2.09,4.84,12,10.5,9,2,3,3.43,1.89,5.32,15,13.21
666,Gyökeres,FWD,Arsenal,8.8,91,11,10.34,26,10,0,8.2,1.69,9.89,10,12.22,10,63,0,12,5,0,4.75,0.17,4.92,3,4.18,14,5,0,3.45,1.52,4.97,7,8.04
236,Neto,MID,Chelsea,7.0,107,8,15.29,27,5,5,4.24,5.6,9.84,19,27.76,11,102,0,14,1,3,1.18,3.66,4.84,9,13.11,13,4,2,3.06,1.94,5.0,10,14.65
382,Wirtz,MID,Liverpool,8.4,100,16,11.9,25,4,3,5.64,4.1,9.73,23,23.77,8,133,0,12,3,2,3.34,2.29,5.63,9,10.24,13,1,1,2.3,1.81,4.1,14,13.53
178,Welbeck,FWD,Brighton,6.1,82,11,13.44,26,9,0,8.72,0.77,9.49,20,22.71,6,70,0,12,4,0,3.42,0.45,3.87,8,9.42,14,5,0,5.3,0.32,5.62,12,13.29
384,Gakpo,MID,Liverpool,7.3,92,5,12.6,25,5,3,5.29,4.1,9.39,25,19.91,7,109,0,12,2,0,2.69,1.68,4.37,11,8.97,13,3,3,2.6,2.42,5.02,14,10.94
235,Palmer,MID,Chelsea,10.6,82,7,7.74,16,8,2,8.07,1.18,9.25,15,18.18,3,81,0,8,4,1,5.25,0.99,6.24,7,9.21,8,4,1,2.82,0.19,3.01,8,8.97
624,Bowen,FWD,West Ham,7.6,124,21,16.32,27,8,4,5.91,3.3,9.21,47,42.33,4,191,0,14,4,2,3.77,2.23,6.0,26,19.8,13,4,2,2.14,1.07,3.21,21,22.53
21,Rice,MID,Arsenal,7.6,152,21,20.0,27,4,8,2.95,5.98,8.93,20,15.91,12,291,0,12,1,4,1.62,3.03,4.65,7,4.81,15,3,4,1.33,2.95,4.28,13,11.1
485,Gordon,MID,Newcastle Utd,7.2,68,4,9.44,21,3,4,5.75,3.14,8.89,25,17.13,6,66,0,10,2,2,3.85,2.35,6.2,12,8.32,11,1,2,1.9,0.79,2.69,13,8.81
