Player ID,Name,Pos,Team,Cost,Total Points,Bonus,Points/$,Games,Goals,Assists,xG,xA,xGI,gc,xGc,clean_sheets,def_con,Saves,h_Games,h_Goals,h_Assists,h_xG,h_xA,h_xGI,h_Gc,h_xGc,a_Games,a_Goals,a_Assists,a_xG,a_xA,a_xGI,a_Gc,a_xGc
235,Palmer,MID,Chelsea,10.6,37,6,3.49,4,4,1,4.53,0.8,5.33,5,3.55,1,18,0,1,3,1,2.74,0.79,3.53,4,2.84,1,3,0,1.79,0.01,1.8,1,0.71
337,Raúl,FWD,Fulham,6.1,25,2,4.1,5,3,1,3.7,0.15,3.85,7,6.91,2,26,0,1,2,0,0.99,0.04,1.03,1,3.19,3,3,0,2.71,0.11,2.82,6,3.72
249,João Pedro,FWD,Chelsea,7.7,47,8,6.1,5,4,5,3.46,0.34,3.8,3,4.05,2,18,0,2,3,3,2.75,0.33,3.08,2,2.45,2,1,3,0.71,0.01,0.72,1,1.6
237,Enzo,MID,Chelsea,6.8,22,3,3.24,5,2,0,2.08,1.23,3.31,7,6.24,0,27,0,0,3,1,0.55,0.78,1.33,5,3.41,2,1,0,1.53,0.45,1.98,2,2.83
661,Ekitiké,FWD,Liverpool,8.9,20,3,2.25,5,2,0,2.88,0.24,3.12,4,6.74,2,19,0,0,2,2,1.75,0.06,1.81,3,3.27,3,0,0,1.13,0.18,1.31,1,3.47
381,M.Salah,MID,Liverpool,14.0,21,0,1.5,5,0,3,1.53,1.56,3.09,6,7.15,2,20,0,1,2,0,0.76,0.56,1.32,3,3.27,3,0,2,0.77,1.0,1.77,3,3.88
83,O.Dango,MID,Brentford,5.9,24,4,4.07,5,2,1,1.64,1.44,3.08,6,5.85,0,27,0,0,3,0,1.31,1.1,2.41,4,2.17,2,2,1,0.33,0.34,0.67,2,3.68
136,Thiago,FWD,Brentford,7.1,13,0,1.83,5,1,0,2.3,0.71,3.01,7,7.11,1,30,0,0,3,0,1.51,0.67,2.18,5,2.47,2,1,0,0.79,0.04,0.83,2,4.64
624,Bowen,FWD,West Ham,7.6,31,5,4.08,5,2,2,1.31,1.66,2.97,3,4.96,3,43,0,2,3,1,1.02,1.5,2.52,1,1.72,2,1,0,0.29,0.16,0.45,2,3.24
267,Sarr,MID,Crystal Palace,6.4,21,0,3.28,5,2,0,2.64,0.09,2.73,7,5.7,2,29,0,0,3,0,0.95,0.06,1.01,6,4.36,2,2,0,1.69,0.03,1.72,1,1.34
430,Haaland,FWD,Manchester City,14.8,28,4,1.89,5,2,3,2.06,0.6,2.66,4,3.92,0,8,0,1,3,1,0.43,0.22,0.65,1,1.66,2,1,2,1.63,0.38,2.01,3,2.26
717,Xavi,MID,Tottenham,6.5,15,2,2.31,5,0,1,1.04,1.57,2.61,12,9.85,0,41,0,1,3,0,0.43,0.84,1.27,8,6.63,2,0,0,0.61,0.73,1.34,4,3.22
666,Gyökeres,FWD,Arsenal,8.8,35,7,3.98,5,5,0,1.8,0.79,2.59,3,2.53,1,14,0,0,1,2,0.92,0.0,0.92,0,0.02,4,3,0,0.88,0.79,1.67,3,2.51
697,Adli,MID,Bournemouth,5.4,30,4,5.56,5,2,1,1.49,1.08,2.57,4,5.55,2,42,0,0,2,1,0.44,0.96,1.4,3,1.37,3,1,1,1.05,0.12,1.17,1,4.18
615,Summerville,MID,West Ham,5.7,32,4,5.61,5,3,0,1.93,0.57,2.5,4,5.76,3,39,0,0,3,1,0.87,0.53,1.4,1,1.72,2,2,0,1.06,0.04,1.1,3,4.04
720,Tolu,FWD,Wolves,5.4,14,2,2.59,5,1,0,2.43,0.06,2.49,7,10.04,1,18,0,0,3,1,1.21,0.04,1.25,6,5.49,2,0,0,1.22,0.02,1.24,1,4.55
82,Semenyo,MID,Manchester City,8.0,35,3,4.38,5,3,1,1.98,0.29,2.27,4,4.71,2,30,0,1,3,2,1.17,0.26,1.43,1,2.48,2,1,0,0.81,0.03,0.84,3,2.23
299,Ndiaye,MID,Everton,6.2,17,2,2.74,5,1,0,1.26,1.0,2.26,6,7.25,0,48,0,0,3,1,1.19,0.96,2.15,4,3.84,2,0,0,0.07,0.04,0.11,2,3.41
449,B.Fernandes,MID,Manchester Utd,9.9,29,4,2.93,5,1,3,1.12,1.13,2.25,5,5.35,2,23,0,2,2,1,0.72,0.79,1.51,2,2.43,3,0,1,0.4,0.34,0.74,3,2.92
126,Jensen,MID,Brentford,4.9,16,0,3.27,5,0,2,0.58,1.51,2.09,7,6.33,1,30,0,0,3,0,0.07,1.29,1.36,5,2.47,2,0,2,0.51,0.22,0.73,2,3.86
236,Neto,MID,Chelsea,7.0,16,2,2.29,5,0,1,0.65,1.39,2.04,4,4.66,2,15,0,1,3,0,0.11,1.32,1.43,3,2.92,2,0,0,0.54,0.07,0.61,1,1.74
157,Mitoma,MID,Brighton,6.1,12,0,1.97,5,0,0,1.11,0.86,1.97,4,5.52,2,29,0,0,2,0,0.49,0.35,0.84,2,2.36,3,0,0,0.62,0.51,1.13,2,3.16
485,Gordon,MID,Newcastle Utd,7.2,15,0,2.08,4,1,1,1.46,0.5,1.96,8,5.45,0,7,0,0,1,0,0.53,0.35,0.88,1,0.64,3,1,1,0.93,0.15,1.08,7,4.81
