team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Atalanta,['Pisa-H'],['Parma-A'],['Lecce-H'],['Torino-A'],['Juventus-A'],['Como-H'],['Lazio-H'],['Cremonese-A'],['Milan-H'],['Udinese-A'],['Sassuolo-H'],['Napoli-A'],['Fiorentina-H'],['Verona-A'],['Cagliari-H'],['Genoa-A'],['Inter-H'],['Roma-H'],['Bologna-A'],['Torino-H'],['Pisa-A'],['Parma-H'],['Como-A'],['Cremonese-H'],['Lazio-A'],['Napoli-H'],['Sassuolo-A'],['Udinese-H'],['Inter-A'],['Verona-H'],['Lecce-A'],['Juventus-H'],['Roma-A'],['Cagliari-A'],['Genoa-H'],['Milan-A'],['Bologna-H'],['Fiorentina-A']
Bologna,['Roma-A'],['Como-H'],['Milan-A'],['Genoa-H'],['Lecce-A'],['Pisa-H'],['Cagliari-A'],['Fiorentina-A'],['Torino-H'],['Parma-A'],['Napoli-H'],['Udinese-A'],['Cremonese-H'],['Lazio-A'],['Juventus-H'],['Verona-A'],['Sassuolo-H'],['Inter-A'],['Atalanta-H'],['Como-A'],['Fiorentina-H'],['Genoa-A'],['Milan-H'],['Parma-H'],['Torino-A'],['Udinese-H'],['Pisa-A'],['Verona-H'],['Sassuolo-A'],['Lazio-H'],['Cremonese-A'],['Lecce-H'],['Juventus-A'],['Roma-H'],['Cagliari-H'],['Napoli-A'],['Atalanta-A'],['Inter-H']
Cagliari,['Fiorentina-H'],['Napoli-A'],['Parma-H'],['Lecce-A'],['Inter-H'],['Udinese-A'],['Bologna-H'],['Verona-A'],['Sassuolo-H'],['Lazio-A'],['Como-A'],['Genoa-H'],['Juventus-A'],['Roma-H'],['Atalanta-A'],['Pisa-H'],['Torino-A'],['Milan-H'],['Cremonese-A'],['Genoa-A'],['Juventus-H'],['Fiorentina-A'],['Verona-H'],['Roma-A'],['Lecce-H'],['Lazio-H'],['Parma-A'],['Como-H'],['Pisa-A'],['Napoli-H'],['Sassuolo-A'],['Cremonese-H'],['Inter-A'],['Atalanta-H'],['Bologna-A'],['Udinese-H'],['Torino-H'],['Milan-A']
Como,['Lazio-H'],['Bologna-A'],['Genoa-H'],['Fiorentina-A'],['Cremonese-H'],['Atalanta-A'],['Juventus-H'],['Parma-A'],['Verona-H'],['Napoli-A'],['Cagliari-H'],['Torino-A'],['Sassuolo-H'],['Inter-A'],['Roma-A'],['Milan-H'],['Lecce-A'],['Udinese-H'],['Pisa-A'],['Bologna-H'],['Lazio-A'],['Torino-H'],['Atalanta-H'],['Milan-A'],['Fiorentina-H'],['Juventus-A'],['Lecce-H'],['Cagliari-A'],['Roma-H'],['Pisa-H'],['Udinese-A'],['Inter-H'],['Sassuolo-A'],['Genoa-A'],['Napoli-H'],['Verona-A'],['Parma-H'],['Cremonese-A']
Cremonese,['Milan-A'],['Sassuolo-H'],['Verona-A'],['Parma-H'],['Como-A'],['Inter-A'],['Udinese-H'],['Atalanta-H'],['Genoa-A'],['Juventus-H'],['Pisa-A'],['Roma-H'],['Bologna-A'],['Lecce-H'],['Torino-A'],['Lazio-A'],['Napoli-H'],['Fiorentina-A'],['Cagliari-H'],['Juventus-A'],['Verona-H'],['Sassuolo-A'],['Inter-H'],['Atalanta-A'],['Genoa-H'],['Roma-A'],['Milan-H'],['Lecce-A'],['Fiorentina-H'],['Parma-A'],['Bologna-H'],['Cagliari-A'],['Torino-H'],['Napoli-A'],['Lazio-H'],['Pisa-H'],['Udinese-A'],['Como-H']
Fiorentina,['Cagliari-A'],['Torino-A'],['Napoli-H'],['Como-H'],['Pisa-A'],['Roma-H'],['Milan-A'],['Bologna-H'],['Inter-A'],['Lecce-H'],['Genoa-A'],['Juventus-H'],['Atalanta-A'],['Sassuolo-A'],['Verona-H'],['Udinese-H'],['Parma-A'],['Cremonese-H'],['Lazio-A'],['Milan-H'],['Bologna-A'],['Cagliari-H'],['Napoli-A'],['Torino-H'],['Como-A'],['Pisa-H'],['Udinese-A'],['Parma-H'],['Cremonese-A'],['Inter-H'],['Verona-A'],['Lazio-H'],['Lecce-A'],['Sassuolo-H'],['Roma-A'],['Genoa-H'],['Juventus-A'],['Atalanta-H']
Genoa,['Lecce-H'],['Juventus-H'],['Como-A'],['Bologna-A'],['Lazio-H'],['Napoli-A'],['Parma-H'],['Torino-A'],['Cremonese-H'],['Sassuolo-A'],['Fiorentina-H'],['Cagliari-A'],['Verona-H'],['Udinese-A'],['Inter-H'],['Atalanta-H'],['Roma-A'],['Pisa-H'],['Milan-A'],['Cagliari-H'],['Parma-A'],['Bologna-H'],['Lazio-A'],['Napoli-H'],['Cremonese-A'],['Torino-H'],['Inter-A'],['Roma-H'],['Verona-A'],['Udinese-H'],['Juventus-A'],['Sassuolo-H'],['Pisa-A'],['Como-H'],['Atalanta-A'],['Fiorentina-A'],['Milan-H'],['Lecce-A']
Inter,['Torino-H'],['Udinese-H'],['Juventus-A'],['Sassuolo-H'],['Cagliari-A'],['Cremonese-H'],['Roma-A'],['Napoli-A'],['Fiorentina-H'],['Verona-A'],['Lazio-H'],['Milan-H'],['Pisa-A'],['Como-H'],['Genoa-A'],['Lecce-H'],['Atalanta-A'],['Bologna-H'],['Parma-A'],['Napoli-H'],['Udinese-A'],['Pisa-H'],['Cremonese-A'],['Sassuolo-A'],['Juventus-H'],['Lecce-A'],['Genoa-H'],['Milan-A'],['Atalanta-H'],['Fiorentina-A'],['Roma-H'],['Como-A'],['Cagliari-H'],['Torino-A'],['Parma-H'],['Lazio-A'],['Verona-H'],['Bologna-A']
Juventus,['Parma-H'],['Genoa-A'],['Inter-H'],['Verona-A'],['Atalanta-H'],['Milan-H'],['Como-A'],['Lazio-A'],['Udinese-H'],['Cremonese-A'],['Torino-H'],['Fiorentina-A'],['Cagliari-H'],['Napoli-A'],['Bologna-A'],['Roma-H'],['Pisa-A'],['Lecce-H'],['Sassuolo-A'],['Cremonese-H'],['Cagliari-A'],['Napoli-H'],['Parma-A'],['Lazio-H'],['Inter-A'],['Como-H'],['Roma-A'],['Pisa-H'],['Udinese-A'],['Sassuolo-H'],['Genoa-H'],['Atalanta-A'],['Bologna-H'],['Milan-A'],['Verona-H'],['Lecce-A'],['Fiorentina-H'],['Torino-A']
Lazio,['Como-A'],['Verona-H'],['Sassuolo-A'],['Roma-H'],['Genoa-A'],['Torino-H'],['Atalanta-A'],['Juventus-H'],['Pisa-A'],['Cagliari-H'],['Inter-A'],['Lecce-H'],['Milan-A'],['Bologna-H'],['Parma-A'],['Cremonese-H'],['Udinese-A'],['Napoli-H'],['Fiorentina-H'],['Verona-A'],['Como-H'],['Lecce-A'],['Genoa-H'],['Juventus-A'],['Atalanta-H'],['Cagliari-A'],['Torino-A'],['Sassuolo-H'],['Milan-H'],['Bologna-A'],['Parma-H'],['Fiorentina-A'],['Napoli-A'],['Udinese-H'],['Cremonese-A'],['Inter-H'],['Roma-A'],['Pisa-H']
