team,team_Oi,team_Di,opponents_Oi,opponents_Di,expected_gf,expected_ga,opponents
Manchester City,7.05,2.9,4.91,5.05,7.13,2.83,"Bournemouth(H), Liverpool(H), Newcastle Utd(A), Leeds United(H), Fulham(A)"
Chelsea,7.05,4.55,5.07,4.98,7.03,4.61,"Tottenham(A), Wolves(H), Burnley(A), Arsenal(H), Leeds United(A)"
Manchester Utd,6.2,5.8,4.15,5.4,6.7,4.82,"Nott'ham Forest(A), Tottenham(A), Everton(H), Crystal Palace(A), West Ham(H)"
Crystal Palace,5.0,3.75,5.14,6.55,6.55,3.85,"Brentford(H), Brighton(H), Wolves(A), Manchester Utd(H), Burnley(A)"
Liverpool,6.65,5.8,4.06,4.89,6.51,4.72,"Aston Villa(H), Manchester City(A), Nott'ham Forest(H), West Ham(A), Sunderland(H)"
Arsenal,6.65,1.25,5.89,4.64,6.17,1.47,"Burnley(A), Sunderland(A), Tottenham(H), Chelsea(A), Brentford(H)"
Brighton,5.8,6.2,4.07,5.14,5.98,5.05,"Leeds United(H), Crystal Palace(A), Brentford(H), Nott'ham Forest(A), Aston Villa(H)"
Bournemouth,6.65,4.55,4.4,4.48,5.96,4.0,"Manchester City(A), Aston Villa(A), West Ham(H), Sunderland(A), Everton(H)"
Tottenham,7.05,2.9,5.48,4.14,5.84,3.17,"Chelsea(H), Manchester Utd(H), Arsenal(A), Fulham(H), Newcastle Utd(A)"
Brentford,5.8,5.8,5.24,4.31,5.01,6.08,"Crystal Palace(A), Newcastle Utd(H), Brighton(A), Burnley(H), Arsenal(A)"
Burnley,5.0,7.05,5.48,4.73,4.73,7.74,"Arsenal(H), West Ham(A), Chelsea(H), Brentford(A), Crystal Palace(H)"
Aston Villa,3.75,3.3,5.15,6.05,4.53,3.41,"Liverpool(A), Bournemouth(H), Leeds United(A), Wolves(H), Brighton(A)"
Sunderland,4.55,2.9,5.49,4.48,4.09,3.17,"Everton(H), Arsenal(H), Fulham(A), Bournemouth(H), Liverpool(A)"
Newcastle Utd,3.75,3.3,5.31,4.98,3.72,3.51,"West Ham(A), Brentford(A), Manchester City(H), Everton(A), Tottenham(H)"
Leeds United,3.75,5.8,5.14,4.8,3.6,5.98,"Brighton(A), Nott'ham Forest(A), Aston Villa(H), Manchester City(A), Chelsea(H)"
Everton,3.75,5.0,4.98,4.47,3.35,4.98,"Sunderland(A), Fulham(H), Manchester Utd(A), Newcastle Utd(H), Bournemouth(A)"
Fulham,3.75,5.8,5.06,4.32,3.22,5.88,"Wolves(H), Everton(A), Sunderland(H), Tottenham(A), Manchester City(H)"
West Ham,2.9,8.3,5.65,5.3,3.07,9.38,"Newcastle Utd(H), Burnley(H), Bournemouth(A), Liverpool(H), Manchester Utd(A)"
Wolves,2.9,7.9,4.32,4.89,2.83,6.82,"Fulham(A), Chelsea(A), Crystal Palace(H), Aston Villa(A), Nott'ham Forest(H)"
Nott'ham Forest,2.05,7.05,5.06,6.3,2.6,7.15,"Manchester Utd(H), Leeds United(H), Liverpool(A), Brighton(H), Wolves(A)"
