team,side,team_Oi,team_Di,opponent,opponent_Oi,opponent_Di,expected_gf,expected_ga
Bournemouth,H,1.52,1.14,Sunderland,0.33,1.97,2.99,0.38
Man City,A,1.32,0.99,Leeds,1.14,1.89,2.49,1.13
Brentford,A,1.32,0.66,Burnley,0.76,1.52,2.01,0.5
Liverpool,H,1.89,1.14,West Ham,1.32,0.99,1.87,1.5
Everton,A,0.99,0.66,Newcastle,0.76,1.89,1.87,0.5
Aston Villa,A,0.99,0.33,Wolves,0.76,1.77,1.75,0.25
Arsenal,H,2.27,0.0,Chelsea,1.97,0.66,1.5,0.0
Fulham,H,1.14,1.14,Tottenham,0.66,1.32,1.5,0.75
West Ham,A,1.32,0.99,Liverpool,1.89,1.14,1.5,1.87
Leeds,H,1.14,1.89,Man City,1.32,0.99,1.13,2.49
Nott'm Forest,A,0.99,0.99,Brighton,0.38,0.76,0.75,0.38
Tottenham,A,0.66,1.32,Fulham,1.14,1.14,0.75,1.5
Man United,H,1.89,0.76,Crystal Palace,0.66,0.33,0.62,0.5
Newcastle,H,0.76,1.89,Everton,0.99,0.66,0.5,1.87
Burnley,H,0.76,1.52,Brentford,1.32,0.66,0.5,2.01
Crystal Palace,A,0.66,0.33,Man United,1.89,0.76,0.5,0.62
Sunderland,A,0.33,1.97,Bournemouth,1.52,1.14,0.38,2.99
Brighton,H,0.38,0.76,Nott'm Forest,0.99,0.99,0.38,0.75
Wolves,H,0.76,1.77,Aston Villa,0.99,0.33,0.25,1.75
Chelsea,A,1.97,0.66,Arsenal,2.27,0.0,0.0,1.5
