team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games,Oi,Di,h_Oi,h_Di,a_Oi,a_Di
Man City,27,56.0,25.0,14,34.0,9.0,22.0,16.0,13,1.5,0.67,1.61,0.42,1.36,0.99
Arsenal,28,56.0,21.0,13,31.0,8.0,25.0,13.0,15,1.45,0.54,1.58,0.41,1.34,0.7
Chelsea,27,48.0,31.0,14,23.0,16.0,25.0,15.0,13,1.29,0.83,1.09,0.76,1.55,0.93
Man United,27,48.0,37.0,13,25.0,15.0,23.0,22.0,14,1.29,0.99,1.27,0.76,1.32,1.26
Bournemouth,27,43.0,45.0,13,20.0,14.0,23.0,31.0,14,1.16,1.21,1.02,0.71,1.32,1.78
Liverpool,27,42.0,35.0,13,21.0,14.0,21.0,21.0,14,1.13,0.94,1.07,0.71,1.21,1.21
Brentford,27,40.0,37.0,14,24.0,15.0,16.0,22.0,13,1.07,0.99,1.13,0.71,0.99,1.36
Aston Villa,27,38.0,28.0,14,20.0,11.0,18.0,17.0,13,1.02,0.75,0.94,0.52,1.11,1.05
Fulham,27,38.0,41.0,13,22.0,16.0,16.0,25.0,14,1.02,1.1,1.12,0.81,0.92,1.44
Newcastle,27,38.0,39.0,13,24.0,20.0,14.0,19.0,14,1.02,1.05,1.22,1.02,0.8,1.09
Tottenham,27,37.0,41.0,14,17.0,22.0,20.0,19.0,13,0.99,1.1,0.8,1.04,1.24,1.18
Leeds,27,37.0,46.0,13,22.0,18.0,15.0,28.0,14,0.99,1.24,1.12,0.92,0.86,1.61
Brighton,27,36.0,34.0,13,20.0,14.0,16.0,20.0,14,0.97,0.91,1.02,0.71,0.92,1.15
West Ham,27,32.0,49.0,14,17.0,27.0,15.0,22.0,13,0.86,1.32,0.8,1.27,0.93,1.36
Burnley,27,29.0,52.0,13,12.0,19.0,17.0,33.0,14,0.78,1.4,0.61,0.97,0.98,1.9
Crystal Palace,27,29.0,32.0,14,14.0,18.0,15.0,14.0,13,0.78,0.86,0.66,0.85,0.93,0.87
Everton,27,29.0,31.0,14,16.0,19.0,13.0,12.0,13,0.78,0.83,0.76,0.9,0.8,0.74
Sunderland,27,28.0,33.0,14,22.0,13.0,6.0,20.0,13,0.75,0.89,1.04,0.61,0.37,1.24
Nott'm Forest,27,25.0,39.0,14,13.0,19.0,12.0,20.0,13,0.67,1.05,0.61,0.9,0.74,1.24
Wolves,28,18.0,51.0,14,13.0,30.0,5.0,21.0,14,0.47,1.32,0.61,1.42,0.29,1.21
