team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games,Oi,Di,h_Oi,h_Di,a_Oi,a_Di
Chelsea,5,13,6,3,7,4,6,2,2,1.87,0.86,1.64,0.94,2.21,0.74
Arsenal,5,12,6,2,5,3,7,3,3,1.73,0.86,1.76,1.06,1.72,0.74
Man United,5,11,5,3,7,2,4,3,2,1.58,0.72,1.64,0.47,1.47,1.1
West Ham,5,10,6,2,4,2,6,4,3,1.44,0.86,1.41,0.7,1.47,0.98
Liverpool,5,9,7,3,6,4,3,3,2,1.29,1.01,1.41,0.94,1.1,1.1
Bournemouth,5,9,5,2,4,3,5,2,3,1.29,0.72,1.41,1.06,1.23,0.49
Man City,5,9,5,2,5,0,4,5,3,1.29,0.72,1.76,0.0,0.98,1.23
Leeds,5,7,8,3,4,5,3,3,2,1.01,1.15,0.94,1.17,1.1,1.1
Everton,5,6,5,2,2,3,4,2,3,0.86,0.72,0.7,1.06,0.98,0.49
Crystal Palace,5,6,9,2,3,6,3,3,3,0.86,1.29,1.06,2.11,0.74,0.74
Burnley,5,6,10,2,2,4,4,6,3,0.86,1.44,0.7,1.41,0.98,1.47
Sunderland,5,6,8,3,5,2,1,6,2,0.86,1.15,1.17,0.47,0.37,2.21
Tottenham,5,6,10,3,4,6,2,4,2,0.86,1.44,0.94,1.41,0.74,1.47
Fulham,5,5,10,2,3,3,2,7,3,0.72,1.44,1.06,1.06,0.49,1.72
Newcastle,5,5,10,2,2,5,3,5,3,0.72,1.44,0.7,1.76,0.74,1.23
Brentford,5,5,7,2,1,3,4,4,3,0.72,1.01,0.35,1.06,0.98,0.98
Aston Villa,5,4,3,3,1,2,3,1,2,0.58,0.43,0.23,0.47,1.1,0.37
Nott'm Forest,5,4,4,3,1,1,3,3,2,0.58,0.58,0.23,0.23,1.1,1.1
Brighton,5,3,6,3,2,3,1,3,2,0.43,0.86,0.47,0.7,0.37,1.1
Wolves,5,3,9,3,3,7,0,2,2,0.43,1.29,0.7,1.64,0.0,0.74
