team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games,Oi,Di,h_Oi,h_Di,a_Oi,a_Di
Barcelona,24,64,25,11,34,5,30,20,13,2.02,0.79,2.04,0.3,2.06,1.37
Real Madrid,24,53,19,12,29,8,24,11,12,1.68,0.6,1.6,0.44,1.78,0.82
Villarreal,24,45,26,12,27,10,18,16,12,1.42,0.82,1.49,0.55,1.34,1.19
Betis,24,39,29,11,22,12,17,17,13,1.23,0.92,1.32,0.72,1.17,1.17
Ath Madrid,24,38,21,12,26,8,12,13,12,1.2,0.66,1.43,0.44,0.89,0.97
Sociedad,24,34,35,12,21,17,13,18,12,1.07,1.11,1.16,0.94,0.97,1.34
Celta,24,32,27,12,17,15,15,12,12,1.01,0.85,0.94,0.83,1.11,0.89
Elche,24,31,35,13,20,13,11,22,11,0.98,1.11,1.02,0.66,0.89,1.78
Sevilla,24,31,39,13,18,19,13,20,11,0.98,1.23,0.91,0.96,1.05,1.62
Espanol,24,29,33,13,16,18,13,15,11,0.92,1.04,0.81,0.91,1.05,1.22
Mallorca,24,29,39,12,19,16,10,23,12,0.92,1.23,1.05,0.88,0.74,1.71
Osasuna,24,28,28,11,20,13,8,15,13,0.89,0.89,1.2,0.78,0.55,1.03
Ath Bilbao,24,27,34,12,15,14,12,20,12,0.85,1.07,0.83,0.77,0.89,1.49
Levante,24,26,41,12,11,23,15,18,12,0.82,1.3,0.61,1.27,1.11,1.34
Valencia,24,25,37,12,15,13,10,24,12,0.79,1.17,0.83,0.72,0.74,1.78
Girona,24,24,38,12,12,19,12,19,12,0.76,1.2,0.66,1.05,0.89,1.41
Vallecano,23,21,30,11,11,9,10,21,12,0.69,0.99,0.66,0.54,0.74,1.56
Alaves,24,21,30,12,14,13,7,17,12,0.66,0.95,0.77,0.72,0.52,1.26
Getafe,24,20,28,12,10,10,10,18,12,0.63,0.89,0.55,0.55,0.74,1.34
Oviedo,23,13,36,12,5,13,8,23,11,0.43,1.19,0.28,0.72,0.65,1.86
