team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games,Oi,Di,h_Oi,h_Di,a_Oi,a_Di
Paris SG,23,52.0,19.0,11,30.0,4.0,22.0,15.0,12,1.59,0.58,1.66,0.22,1.54,1.05
Marseille,23,48.0,31.0,11,29.0,13.0,19.0,18.0,12,1.47,0.95,1.61,0.72,1.33,1.26
Lens,23,44.0,20.0,12,23.0,8.0,21.0,12.0,11,1.35,0.61,1.17,0.41,1.6,0.91
Strasbourg,23,39.0,30.0,11,20.0,8.0,19.0,22.0,12,1.2,0.92,1.11,0.44,1.33,1.54
Monaco,23,38.0,36.0,12,25.0,19.0,13.0,17.0,11,1.17,1.1,1.27,0.96,0.99,1.3
Rennes,23,37.0,35.0,11,22.0,12.0,15.0,23.0,12,1.13,1.07,1.22,0.66,1.05,1.61
Lyon,23,37.0,23.0,11,19.0,7.0,18.0,16.0,12,1.13,0.71,1.05,0.39,1.26,1.12
Lille,23,36.0,31.0,11,18.0,13.0,18.0,18.0,12,1.1,0.95,1.0,0.72,1.26,1.26
Toulouse,23,33.0,27.0,12,20.0,16.0,13.0,11.0,11,1.01,0.83,1.01,0.81,0.99,0.84
Lorient,23,32.0,36.0,11,22.0,16.0,10.0,20.0,12,0.98,1.1,1.22,0.89,0.7,1.4
Brest,23,31.0,34.0,12,18.0,13.0,13.0,21.0,11,0.95,1.04,0.91,0.66,0.99,1.6
Nice,23,30.0,43.0,12,17.0,17.0,13.0,26.0,11,0.92,1.32,0.86,0.86,0.99,1.98
Paris FC,23,27.0,40.0,11,14.0,22.0,13.0,18.0,12,0.83,1.23,0.77,1.22,0.91,1.26
Angers,23,22.0,28.0,12,16.0,13.0,6.0,15.0,11,0.67,0.86,0.81,0.66,0.46,1.14
Nantes,23,22.0,40.0,12,12.0,22.0,10.0,18.0,11,0.67,1.23,0.61,1.12,0.76,1.37
Metz,23,22.0,52.0,11,10.0,18.0,12.0,34.0,12,0.67,1.59,0.55,1.0,0.84,2.37
Le Havre,23,20.0,29.0,12,15.0,11.0,5.0,18.0,11,0.61,0.89,0.76,0.56,0.38,1.37
Auxerre,23,17.0,33.0,12,10.0,15.0,7.0,18.0,11,0.52,1.01,0.51,0.76,0.53,1.37
