team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games
Bayern Munich,24,88.0,23.0,12,48.0,12.0,40.0,11.0,12
Dortmund,24,51.0,25.0,12,28.0,11.0,23.0,14.0,12
Hoffenheim,24,49.0,31.0,12,27.0,14.0,22.0,17.0,12
Ein Frankfurt,24,48.0,49.0,12,22.0,18.0,26.0,31.0,12
Stuttgart,24,48.0,32.0,12,21.0,12.0,27.0,20.0,12
RB Leipzig,24,46.0,33.0,12,27.0,17.0,19.0,16.0,12
Leverkusen,23,44.0,29.0,12,25.0,11.0,19.0,18.0,11
Freiburg,24,34.0,39.0,11,21.0,12.0,13.0,27.0,13
Wolfsburg,24,33.0,53.0,12,19.0,26.0,14.0,27.0,12
FC Koln,24,33.0,41.0,12,21.0,19.0,12.0,22.0,12
Augsburg,24,30.0,41.0,13,17.0,19.0,13.0,22.0,11
Union Berlin,24,29.0,38.0,12,17.0,17.0,12.0,21.0,12
M'gladbach,24,27.0,39.0,12,14.0,21.0,13.0,18.0,12
Mainz,24,27.0,39.0,12,13.0,14.0,14.0,25.0,12
Hamburg,23,26.0,34.0,12,19.0,15.0,7.0,19.0,11
Werder Bremen,24,25.0,44.0,12,14.0,21.0,11.0,23.0,12
St Pauli,24,23.0,40.0,11,13.0,18.0,10.0,22.0,13
Heidenheim,24,22.0,53.0,12,13.0,27.0,9.0,26.0,12
