team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games,Oi,Di,h_Oi,h_Di,a_Oi,a_Di
Bayern Munich,5,16,6,2,6,3,10,3,3,2.18,0.82,1.89,0.94,2.47,0.74
Dortmund,5,15,5,3,10,4,5,1,2,2.05,0.68,2.1,0.84,1.85,0.37
Hoffenheim,5,12,7,2,6,1,6,6,3,1.64,0.95,1.89,0.31,1.48,1.48
Leverkusen,5,9,3,2,5,0,4,3,3,1.23,0.41,1.57,0.0,0.99,0.74
Ein Frankfurt,5,9,10,3,5,6,4,4,2,1.23,1.36,1.05,1.26,1.48,1.48
Stuttgart,5,9,4,3,5,2,4,2,2,1.23,0.55,1.05,0.42,1.48,0.74
RB Leipzig,5,9,6,2,3,4,6,2,3,1.23,0.82,0.94,1.26,1.48,0.49
Mainz,5,8,8,2,5,1,3,7,3,1.09,1.09,1.57,0.31,0.74,1.73
Augsburg,5,7,6,3,5,3,2,3,2,0.95,0.82,1.05,0.63,0.74,1.11
Hamburg,5,7,4,3,5,4,2,0,2,0.95,0.55,1.05,0.84,0.74,0.0
FC Koln,5,6,8,3,4,3,2,5,2,0.82,1.09,0.84,0.63,0.74,1.85
Freiburg,5,5,7,2,3,1,2,6,3,0.68,0.95,0.94,0.31,0.49,1.48
Union Berlin,5,5,11,2,1,4,4,7,3,0.68,1.5,0.31,1.26,0.99,1.73
Wolfsburg,5,5,9,2,2,3,3,6,3,0.68,1.23,0.63,0.94,0.74,1.48
St Pauli,5,4,8,3,3,2,1,6,2,0.55,1.09,0.63,0.42,0.37,2.23
Heidenheim,5,3,10,2,0,5,3,5,3,0.41,1.36,0.0,1.57,0.74,1.24
M'gladbach,5,2,8,2,1,4,1,4,3,0.27,1.09,0.31,1.26,0.25,0.99
Werder Bremen,5,1,8,3,1,6,0,2,2,0.14,1.09,0.21,1.26,0.0,0.74
