team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games,Oi,Di,h_Oi,h_Di,a_Oi,a_Di
Inter,5,18.0,4.0,2,9.0,4.0,9.0,0.0,3,2.57,0.57,2.96,1.32,2.34,0.0
Juventus,5,11.0,8.0,3,5.0,4.0,6.0,4.0,2,1.57,1.14,1.1,0.88,2.34,1.56
Atalanta,5,10.0,2.0,3,8.0,2.0,2.0,0.0,2,1.43,0.29,1.75,0.44,0.78,0.0
Como,5,10.0,3.0,3,7.0,2.0,3.0,1.0,2,1.43,0.43,1.54,0.44,1.17,0.39
Genoa,5,10.0,8.0,3,8.0,5.0,2.0,3.0,2,1.43,1.14,1.75,1.1,0.78,1.17
Sassuolo,5,9.0,7.0,3,4.0,5.0,5.0,2.0,2,1.29,1.0,0.88,1.1,1.95,0.78
Napoli,5,8.0,10.0,2,4.0,3.0,4.0,7.0,3,1.14,1.43,1.32,0.99,1.04,1.82
Roma,5,8.0,4.0,3,6.0,1.0,2.0,3.0,2,1.14,0.57,1.32,0.22,0.78,1.17
Milan,5,7.0,4.0,2,1.0,2.0,6.0,2.0,3,1.0,0.57,0.33,0.66,1.56,0.52
Fiorentina,5,7.0,7.0,3,4.0,4.0,3.0,3.0,2,1.0,1.0,0.88,0.88,1.17,1.17
Udinese,5,6.0,6.0,2,2.0,2.0,4.0,4.0,3,0.86,0.86,0.66,0.66,1.04,1.04
Cagliari,5,6.0,5.0,3,4.0,2.0,2.0,3.0,2,0.86,0.71,0.88,0.44,0.78,1.17
Bologna,5,5.0,8.0,3,1.0,4.0,4.0,4.0,2,0.71,1.14,0.22,0.88,1.56,1.56
Parma,5,5.0,9.0,2,3.0,5.0,2.0,4.0,3,0.71,1.29,0.99,1.64,0.52,1.04
Lazio,5,5.0,6.0,2,3.0,4.0,2.0,2.0,3,0.71,0.86,0.99,1.32,0.52,0.52
Lecce,5,4.0,4.0,3,2.0,3.0,2.0,1.0,2,0.57,0.57,0.44,0.66,0.78,0.39
Torino,5,4.0,13.0,2,2.0,2.0,2.0,11.0,3,0.57,1.86,0.66,0.66,0.52,2.86
Pisa,5,4.0,12.0,2,2.0,5.0,2.0,7.0,3,0.57,1.71,0.66,1.64,0.52,1.82
Verona,5,2.0,12.0,2,1.0,3.0,1.0,9.0,3,0.29,1.71,0.33,0.99,0.26,2.34
Cremonese,5,1.0,8.0,2,0.0,2.0,1.0,6.0,3,0.14,1.14,0.0,0.66,0.26,1.56
